Sector,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Accommodation and food services,1.237282810648963,1.231345801948713,1.2276206231836526,1.2265116018523443,1.2311098615292955,1.2379266029139062,1.242850241266488,1.258501018919492,1.2771744068259976,1.2925852518820968,1.3008637132789964,1.3064843598481468,1.311883705830326,1.3137527555131647,1.3040055108516457,1.2915783080236227,1.2765671570719965,1.2546105475798532,1.234375302310766,1.2224067485463206,1.2120528731690232,1.205507965887603,1.196548791799689
Administrative and support and waste management and remediation services,0.541770200456729,0.5432574082663288,0.5426712359205468,0.5432495033704176,0.5419403183229728,0.5429218108084986,0.5421785292433409,0.5423537764296932,0.5453534003552801,0.5475846298769415,0.5500984809207792,0.5510921495815911,0.5538973222028553,0.5550629531548774,0.5572296067404343,0.5582010085572173,0.5585484427217129,0.558322185906431,0.5546053699319291,0.5541164979761002,0.5525876009662348,0.5514386676867756,0.5488107909581558
"Agriculture, forestry, fishing and hunting",3.317232806778063,3.3855111601377845,3.36509026827738,3.2936267434960738,3.300875225564658,3.335848040257453,3.3767756837260032,3.3872930469425406,3.400729941764787,3.3896713835419745,3.322183044814628,3.2482570429664945,3.191810069763726,3.222715988470599,3.237932086956545,3.267838460599336,3.3207491092866794,3.378883278792698,3.4185782706870746,3.4284777705873917,3.506309370105847,3.580404578913103,3.730789477884075
All industry total,2.0900196273526483,2.104969246857365,2.1184086579289523,2.137456162483186,2.160595735350821,2.182693463263793,2.2119836712464394,2.241907084124646,2.2692377647429813,2.290225876011175,2.3036910500601704,2.3114974485820725,2.3213691790214224,2.324480907566867,2.317144109471389,2.3101675314933665,2.305599889850208,2.2993150451221203,2.2940982813055184,2.29354792099492,2.295185813535821,2.300529311240943,2.300990458322438
"Arts, entertainment, and recreation",1.6304279424208086,1.6636385009825387,1.6847032434618199,1.7080654682606244,1.7370170349781036,1.7633475205681926,1.8181491368298281,1.8666758786793671,1.905149336645237,1.9295078794179605,1.9327750991861343,1.9280426414766119,1.9291216463225382,1.9235518587305638,1.912921250360848,1.9016640291420672,1.8921139073813726,1.8880171188878905,1.8953086632125253,1.8949839409214218,1.897746442859961,1.914229260883389,1.929620513231159
Construction,0.3784267807952891,0.37877245915613583,0.3768015379861757,0.3745791600622008,0.37180798097773127,0.3700892440692283,0.36920737803610604,0.37491884228661543,0.383347125251323,0.39577396919172037,0.41045188433588553,0.4226891945045576,0.43519142831642643,0.4460783851930044,0.4556073880504158,0.4632842094275209,0.4682724392330407,0.4669870348363127,0.4622937206165143,0.4579693515513265,0.45066937429107057,0.44321157738306777,0.4354137820993951
Educational services,2.2630437199131443,2.2860600800167044,2.291620631940183,2.298509805289358,2.3187542447806475,2.3464591537688544,2.3933659121093758,2.4317741471650307,2.446615904796523,2.4544389153788755,2.463063559653536,2.4619585495151135,2.475066284053894,2.4838832199708554,2.4801169415068323,2.4575174886847515,2.441844772185456,2.428612148725327,2.4427754041986875,2.452327764722957,2.457664646945567,2.467317913773465,2.4691940179242327
Finance and insurance,1.0445099842583727,1.0426581510238366,1.0403588822887375,1.0459046486396768,1.0464064449396404,1.0483417553940806,1.0560691924750576,1.091610473090149,1.1046416978262834,1.1144544196445412,1.1280403695490984,1.1285527936804145,1.1346887638905172,1.1267126633440099,1.1198957933145075,1.108596016509442,1.090534081876503,1.0438205197520205,1.0180362458627,1.0035678989798766,0.9849773849225951,0.9773279790309204,0.9588954802062121
Government and government enterprises,4.778260514034139,4.761715634433318,4.7438509148791335,4.762072410129938,4.7989974001886715,4.855326236445323,4.926885476260713,5.005690013149475,5.067630707004469,5.134716337099539,5.228328102119885,5.340325426201401,5.461660441017662,5.555557837132272,5.620421721056898,5.663979433156219,5.70250318165202,5.738803016836405,5.790634953792761,5.826965429800089,5.845687436821298,5.852362145332286,5.852753711934896
Health care and social assistance,1.1435537830631852,1.1372719477827082,1.1318655213713769,1.1311092317569118,1.137089576349486,1.144799914713426,1.1555981095343102,1.1604562772702736,1.1557307260844722,1.1498727817690173,1.1472959107855716,1.14624635857236,1.1482631981150901,1.1479867277628222,1.1387218310206353,1.1239427218412414,1.1072505025197197,1.0960231403569105,1.0934753098190793,1.0931365696501094,1.091933838411796,1.0914433511494515,1.0867513499525783
