State,Sector,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,All industry total,8577552.0,9062817.0,9630663.0,10252347.0,10581822.0,10936418.0,11458246.0,12213730.0,13036637.0,13814609.0,14451860.0,14712845.0,14448932.0,14992052.0,15542582.0,16197007.0,16784851.0,17527258.0,18238301.0,18745075.0,19542980.0,20611861.0,21433226.0
USA,"Agriculture, forestry, fishing and hunting",108637.0,99756.0,92590.0,98312.0,99836.0,95629.0,113953.0,142945.0,128347.0,125130.0,144062.0,147244.0,129968.0,146299.0,180945.0,179573.0,215601.0,201003.0,182283.0,166571.0,176625.0,178569.0,175373.0
USA,"Mining, quarrying, and oil and gas extraction",95062.0,81692.0,84543.0,110581.0,123924.0,112417.0,139000.0,166517.0,225677.0,273322.0,313963.0,392175.0,275841.0,305838.0,356315.0,358798.0,386519.0,416375.0,261774.0,218027.0,274035.0,330819.0,309469.0
USA,Utilities,171479.0,163685.0,179865.0,180122.0,181332.0,177618.0,184029.0,199216.0,198143.0,226848.0,231907.0,241686.0,258241.0,278837.0,287459.0,279651.0,286340.0,298076.0,299232.0,301745.0,310092.0,321829.0,335264.0
USA,Construction,339552.0,379790.0,417600.0,461341.0,486485.0,493560.0,525240.0,584643.0,651816.0,697083.0,715327.0,648879.0,565647.0,525126.0,524431.0,553419.0,587553.0,636899.0,694943.0,746890.0,797848.0,848170.0,892684.0
USA,Manufacturing,1382889.0,1430610.0,1488933.0,1550194.0,1473850.0,1468492.0,1524213.0,1608098.0,1693441.0,1793844.0,1844745.0,1800844.0,1702135.0,1797010.0,1867566.0,1927057.0,1991904.0,2050232.0,2129592.0,2099736.0,2182354.0,2314368.0,2345849.0
USA,Wholesale trade,527539.0,563735.0,584013.0,622624.0,613752.0,613147.0,641450.0,697110.0,754949.0,811473.0,857827.0,884319.0,834180.0,888905.0,934907.0,997353.0,1040067.0,1088175.0,1142867.0,1133629.0,1163517.0,1210860.0,1262290.0
USA,Retail trade,579918.0,626912.0,652622.0,685504.0,709492.0,732632.0,769610.0,795568.0,840827.0,869941.0,869218.0,848675.0,827625.0,851508.0,871932.0,908415.0,949451.0,974513.0,1020079.0,1052843.0,1083486.0,1115754.0,1162239.0
USA,Transportation and warehousing,257255.0,279997.0,290034.0,307829.0,308058.0,305677.0,321444.0,352062.0,375824.0,410382.0,413904.0,426803.0,404626.0,433036.0,451444.0,471965.0,491099.0,521839.0,565836.0,581987.0,607013.0,650731.0,696656.0
USA,Information,394074.0,434630.0,485007.0,471299.0,502386.0,550582.0,564861.0,620363.0,642338.0,651995.0,706937.0,742961.0,721922.0,753280.0,759819.0,758952.0,828928.0,842420.0,906938.0,968397.0,1005414.0,1059796.0,1127526.0
USA,Finance and insurance,577187.0,637935.0,675073.0,743055.0,803103.0,816432.0,846319.0,872387.0,973705.0,1034192.0,1030549.0,873248.0,966604.0,1003613.0,1026042.0,1162805.0,1144934.0,1282633.0,1363092.0,1457972.0,1513274.0,1633629.0,1665797.0
USA,Real estate and rental and leasing,1035169.0,1072172.0,1162043.0,1231673.0,1324998.0,1400528.0,1449599.0,1516727.0,1632468.0,1709732.0,1817723.0,1889494.0,1901062.0,1939357.0,2019282.0,2098159.0,2177856.0,2265413.0,2385946.0,2488011.0,2603557.0,2738286.0,2875986.0
USA,"Professional, scientific, and technical services",499682.0,543091.0,595948.0,651844.0,686776.0,714721.0,741331.0,792390.0,852401.0,917072.0,984929.0,1082135.0,1031282.0,1063884.0,1124558.0,1188532.0,1208524.0,1267640.0,1348595.0,1394107.0,1456745.0,1548902.0,1638431.0
