,region_from,region_to,total_export,total_import,flow_value,rel_to_all_imports,rel_to_all_exports
0,USA,EUR,5124211.098000001,6028490.501999995,1147012.8240000003,0.19026534480223042,0.22384183673613361
1,EUR,USA,7847600.383000004,7343463.915000003,1618887.2020000005,0.2204528027560955,0.20629072875664542
2,USA,MEX,5124211.098000001,967359.1740000003,501156.0050000001,0.5180661107784149,0.0978015923652332
3,MEX,USA,996503.4170000001,7343463.915000003,776074.7260000003,0.10568237755138475,0.7787978573484411
4,USA,CAN,5124211.098000001,1599263.0930000003,951651.6610000002,0.595056351369199,0.18571671673936957
5,CAN,USA,1628824.7740000007,7343463.915000003,1228957.1490000002,0.1673538759398942,0.7545054376733097
6,USA,CHN,5124211.098000001,4339370.1790000005,367139.99400000006,0.08460674679858882,0.07164810094246434
7,CHN,USA,5373872.577000001,7343463.915000003,1026738.1380000002,0.13981659743745056,0.19106112459651645
8,USA,ROW,5124211.098000001,10149741.312000006,2157250.614,0.21254242326841272,0.42099175321679916
9,ROW,USA,9456675.925999999,7343463.915000003,2692806.7000000007,0.36669434631517484,0.2847519277462444
