region,total_export,total_import,export_to_US,import_from_US,us_import_share,us_export_share,us_trade_balance,us_trade_volume
AFG,660916.0,3133140.0,3703.399169921875,89097.5078125,0.028437129465169127,0.005603433976362919,-85394.10864257812,92800.90698242188
ALB,1837204.0,5698814.0,29783.265625,42862.3359375,0.007521273011805614,0.016211191367425718,-13079.0703125,72645.6015625
DZA,67800832.0,45603904.0,14646243.0,2528205.5,0.05543835676875383,0.21601863233772706,12118037.5,17174448.5
AND,602890.0,1134231.0,5640.0771484375,16216.2763671875,0.01429715495978112,0.009355068334915988,-10576.19921875,21856.353515625
AGO,30711744.0,21534192.0,8257859.5,1684576.25,0.07822797576988261,0.26888279284953664,6573283.25,9942435.75
ATG,316149.25,665925.0,2947.81689453125,357385.0,0.5366745504373616,0.00932413059506309,-354437.18310546875,360332.81689453125
ARG,99462400.0,98747392.0,7470963.0,11447695.0,0.11592908701831842,0.07511343985264783,-3976732.0,18918658.0
ARM,1789691.0,3312522.0,35924.4609375,208014.6875,0.0627964697291067,0.020072996365014965,-172090.2265625,243939.1484375
ABW,1202077.0,1931040.0,663050.75,555580.5625,0.28771054069309804,0.5515875854874521,107470.1875,1218631.3125
AUS,304750848.0,303398912.0,26575806.0,68994480.0,0.22740516617277784,0.08720502723588812,-42418674.0,95570286.0
AUT,249346496.0,232450048.0,12548418.0,8175570.0,0.03517129839439741,0.050325222937963404,4372848.0,20723988.0
AZE,11475488.0,9893632.0,80595.921875,508227.0,0.051369102873444254,0.007023311067468329,-427631.078125,588822.921875
BHS,1362409.0,4025463.0,285889.375,3572547.5,0.8874873523865453,0.2098410792941033,-3286658.125,3858436.875
BHR,9507512.0,8706768.0,537007.375,871729.375,0.10012089158686667,0.056482429367430725,-334722.0,1408736.75
BGD,14282608.0,22744688.0,4156773.0,516358.4375,0.022702375055661347,0.29103739317077104,3640414.5625,4673131.4375
BRB,1318347.0,2217559.0,136249.375,1011969.8125,0.45634403075634067,0.10334864417334738,-875720.4375,1148219.1875
BLR,7855619.5,20278470.0,165893.09375,146298.59375,0.007214478890665814,0.021117760827137823,19594.5,312191.6875
BEL,562894464.0,456411520.0,20931644.0,26396802.0,0.05783552965534262,0.03718573434042514,-5465158.0,47328446.0
BLZ,833992.0,890343.25,192701.28125,442027.9375,0.4964691286197767,0.23105890853869102,-249326.65625,634729.21875
BEN,649332.0,1548654.0,7384.7275390625,36981.7109375,0.023879905348450976,0.011372807037174358,-29596.9833984375,44366.4384765625
BMU,492874.0,1816044.0,31177.515625,514863.53125,0.2835082912363357,0.06325656379723824,-483686.015625,546041.046875
BTN,742360.0,1032466.0,4587.94970703125,29780.72265625,0.028844264756660267,0.00618022213889656,-25192.77294921875,34368.67236328125
BOL,11773368.0,7811196.0,826676.8125,1032289.3125,0.1321550902704272,0.07021583055078207,-205612.5,1858966.125
BIH,3557204.0,6780968.0,74638.4921875,62320.375,0.009190483571077167,0.020982347986649066,12318.1171875,136958.8671875
BWA,1471146.0,6812076.0,27407.3359375,61798.484375,0.0090719017778134,0.018629922480501597,-34391.1484375,89205.8203125
BRA,261165056.0,290653696.0,47441944.0,49181232.0,0.16920903699776108,0.18165502202561126,-1739288.0,96623176.0
VGB,520134.625,474138.625,22545.2265625,55548.578125,0.11715682966136749,0.043344983161811235,-33003.3515625,78093.8046875
BRN,8458374.0,4013450.0,368459.4375,196665.53125,0.04900161488245774,0.043561497458022076,171793.90625,565124.96875
BGR,27383256.0,29106488.0,1013093.25,591885.875,0.020335186952132458,0.03699681476884999,421207.375,1604979.125
BFA,524193.0,3103794.0,9667.72265625,78310.859375,0.02523068843325298,0.018443059438508335,-68643.13671875,87978.58203125
BDI,277719.0,677704.0,6113.89453125,18608.08984375,0.027457547607436284,0.022014678618495674,-12494.1953125,24721.984375
KHM,3036238.0,6129554.0,1196872.75,97596.78125,0.01592232995255446,0.3941959589465648,1099275.96875,1294469.53125
CMR,3794620.0,4954388.0,247020.46875,193443.265625,0.03904483573450444,0.06509755094054213,53577.203125,440463.734375
CAN,644238592.0,641535744.0,477152928.0,377091072.0,0.5877943287287825,0.7406462976995951,100061856.0,854244000.0
CPV,443575.25,985372.75,3737.264892578125,30485.55859375,0.03093809788605378,0.00842532330777726,-26748.293701171875,34222.823486328125
CYM,577154.0,1082919.5,8447.759765625,370257.9375,0.3419071662298075,0.01463692492060178,-361810.177734375,378705.697265625
CAF,346736.0,428282.5,3452.59716796875,9708.623046875,0.02266873628241873,0.00995742342291758,-6256.02587890625,13161.22021484375
TCD,1825617.0,940225.0,255720.125,60414.1484375,0.06425499049429657,0.14007326016355018,195305.9765625,316134.2734375
CHL,81806816.0,75539360.0,12845518.0,11083562.0,0.146725654016661,0.15702258843566286,1761956.0,23929080.0
CHN,2019899392.0,1630670848.0,374783520.0,134060280.0,0.08221173522812618,0.18554563731459353,240723240.0,508843800.0
COL,45834848.0,60485504.0,14968792.0,16892810.0,0.2792869180688318,0.32658103284208556,-1924018.0,31861602.0
COG,5428916.0,3840458.0,662879.0,325229.1875,0.08468500046088254,0.12210153923914092,337649.8125,988108.1875
CRI,13700432.0,15603392.0,5940713.5,6181130.5,0.39614017900723125,0.43361504951084756,-240417.0,12121844.0
HRV,15947072.0,24740944.0,1101449.625,571895.25,0.02311533666621613,0.06906908208604062,529554.375,1673344.875
CUB,4968624.0,12909312.0,4011.55810546875,11454.427734375,0.0008872996279255626,0.0008073780800215009,-7442.86962890625,15465.98583984375
CYP,3694708.0,10920064.0,43529.234375,614279.875,0.05625240612142932,0.01178150868079426,-570750.640625,657809.109375
CZE,172508992.0,143921792.0,4784876.0,3898041.5,0.027084442500549186,0.02773696573451661,886834.5,8682917.5
CIV,8131060.0,4764524.0,846075.75,118066.28125,0.024780288912386633,0.10405479113424326,728009.46875,964142.03125
