,region,consumption_deviation,consumption_loss
US.AK,US.AK,0.017357135238309097,3251.792999997735
US.AL,US.AL,-0.07779685383049921,-44608.9980000034
US.AR,US.AR,-0.02800818377755171,-9428.761000007391
US.AZ,US.AZ,-0.10629187502871418,-86828.15500000119
US.CA,US.CA,-0.2188765353543382,-1440713.9259998798
US.CO,US.CO,-0.10767755597343473,-90655.90300001204
US.CT,US.CT,-0.09855377496378426,-72827.03499998152
US.DC,US.DC,-0.03104227648473924,-10494.25299999863
US.DE,US.DE,0.03195944245540311,5961.629000000656
US.FL,US.FL,-0.17216949291709222,-406254.3950000107
US.GA,US.GA,-0.13872048979841162,-188033.31700000167
US.HI,US.HI,-0.007474275333716711,-1669.0760000012815
US.IA,US.IA,-0.06215019979326934,-30332.339999996126
US.ID,US.ID,0.034646334286879486,6192.774000003934
US.IL,US.IL,-0.1664626108030024,-365658.8870000243
US.IN,US.IN,-0.11454139755819774,-106058.37299999595
US.KS,US.KS,-0.05373232435420884,-23356.474000006914
US.KY,US.KY,-0.07389224382280477,-40354.68399999291
US.LA,US.LA,-0.09723024460022733,-72424.68899999559
US.MA,US.MA,-0.1394748572941183,-186919.72199998796
US.MD,US.MD,-0.12146781969193123,-124667.02200001478
US.ME,US.ME,0.04675465103938047,7559.004999998957
US.MI,US.MI,-0.13473409630213384,-173325.19099999964
US.MN,US.MN,-0.11217139053689602,-101410.71400003135
US.MO,US.MO,-0.10518296367738791,-86426.96500000358
US.MS,US.MS,-0.020501413971450912,-6402.921000003815
US.MT,US.MT,0.07299246623133905,9494.882999999449
US.NC,US.NC,-0.13872597317417643,-187737.14700001478
US.ND,US.ND,0.04986236165417605,8047.828999999911
US.NE,US.NE,-0.022375594042544425,-7031.267000000924
US.NH,US.NH,0.020659056910616633,4256.826999999583
US.NJ,US.NJ,-0.14956750875634434,-237666.97800001502
US.NM,US.NM,-0.009796703155937761,-2720.5920000076294
US.NV,US.NV,-0.044611965200901896,-17252.692999988794
US.NY,US.NY,-0.19630193796957895,-788747.5440000296
US.OH,US.OH,-0.15361951263049337,-261016.2609999776
US.OK,US.OK,-0.07069993648366159,-38012.54099999368
US.OR,US.OR,-0.0851611886937775,-51751.51700000465
US.PA,US.PA,-0.16167144858958601,-318438.83500000834
US.RI,US.RI,0.050712446479390605,7950.532999999821
US.SC,US.SC,-0.07285580834445672,-39230.54799999297
US.SD,US.SD,0.07253766902607389,9594.254999998957
US.TN,US.TN,-0.1076941384009215,-92498.75199998915
US.TX,US.TX,-0.2000628697231344,-888431.9789998531
US.UT,US.UT,-0.04591173023903382,-18121.26700000465
US.VA,US.VA,-0.13962262211954973,-190155.3140000105
US.VT,US.VT,0.12013478895292842,10381.565999999642
US.WA,US.WA,-0.13320225212056822,-159924.6860000193
US.WI,US.WI,-0.10690342736504567,-89878.81099998951
US.WV,US.WV,0.01603111419728218,3502.582000002265
US.WY,US.WY,0.08014624816259504,9894.527999999002
