,us_trade_volume,absolute_difference,relative_loss
BHS,3858436.875,1458754.9999995232,0.050464665544991405
TTO,16909514.5,2737045.9999990463,0.047054758456543944
ABW,1218631.3125,396217.9999998808,0.04520391404072566
MAC,3594171.25,2641295.9999990463,0.043086511958145834
ANT,1057807.6875,601150.0,0.04207095178714315
ETH,427730.3828125,345648.9999998808,0.040320383791891956
MLT,1313572.75,1081642.0,0.03788417372061481
ISL,1097499.0625,1756514.0,0.03759122225739375
EST,1032329.0,1931845.9999990463,0.03093748633589133
LUX,3291528.75,5261480.0,0.02996525505076786
BHR,1408736.75,1992004.9999990463,0.027849941847724047
BRN,565124.96875,911528.9999995232,0.027296950970367995
LVA,592700.75,2388087.9999980927,0.027145935273886757
BRB,1148219.1875,421230.9999997616,0.02688658942062716
TWN,51305684.0,17703023.99999237,0.026739338577286276
LTU,1321183.1875,3021387.9999980927,0.02571942606170996
CYP,657809.109375,2213056.9999980927,0.0248660882013807
VGB,78093.8046875,59398.9999999702,0.024857609844897155
ZWE,115172.3740234375,74990.9999999404,0.024344584608160247
MDV,79276.5078125,203622.9999998808,0.02423644047848672
FJI,248929.7890625,317140.0,0.024011647458554997
CZE,8682917.5,13358750.99999237,0.02295481401417554
SVN,2386758.625,3673389.9999980927,0.022638938542018927
HRV,1673344.875,4330346.999996185,0.0219350077146796
PAN,7928041.0,2456756.9999980927,0.021701121947925728
CRI,12121844.0,2849844.9999980927,0.021343363096648638
JAM,4302906.875,1157643.0,0.021073946053040693
JOR,1396983.5625,2435085.9999980927,0.02094050524159563
NCL,98672.9375,695391.9999995232,0.020864228363381976
SYC,57928.1328125,109145.99999988079,0.02003212727705872
SVK,1939892.375,6893737.999992371,0.019808830833834
KWT,16169723.0,5607545.999996185,0.019769410869741044
CHN,508843800.0,378525484.9995117,0.019577137025872382
ARE,14760182.25,21919134.99998474,0.019040425930150207
SAU,43341644.0,31789114.0,0.018828063786568983
OMN,3187070.25,3425818.0,0.018491586054358855
CYM,378705.697265625,177713.9999998808,0.018415371833557792
TKM,300112.06640625,1452710.9999990463,0.018156247173140017
KOR,141174056.0,45640783.99996948,0.018018630023952653
PYF,483055.0,455949.99999952316,0.01779104417252153
MNG,362454.984375,423642.0,0.017717700374642043
URY,1375000.875,2556163.9999980927,0.01760953698832779
FIN,14174527.0,11689862.999984741,0.017556265618834388
MKD,325118.703125,733718.9999990463,0.01750412140169022
MUS,586752.1875,633149.9999995232,0.01718869610911611
AGO,9942435.75,4507109.999996185,0.01690413766615162
HND,6723380.75,1044645.9999990463,0.016663444786479964
ATG,360332.8168945313,65130.999999940395,0.016632610304689877
GAB,2822469.875,1118877.9999990463,0.01656922065897959
AND,21856.353515625,192226.0,0.01648279538455366
HKG,62276246.0,22888691.0,0.016227107955169018
BGR,1604979.125,2688454.9999961853,0.01620665531478771
BMU,546041.046875,352451.99999952316,0.01620015573431388
NOR,18790816.0,17760754.99998474,0.016154623499198273
NZL,12762719.5,7015584.999992371,0.01582804424873352
LBN,1175014.484375,2304462.9999980927,0.015685746359328512
DOM,12954048.5,2919880.0,0.015432503643064699
ISR,36485988.0,10907849.0,0.015402320212509757
MRT,91564.2265625,204353.99999976158,0.015074491630073794
ECU,9812580.0,2807149.0,0.014836987766542187
BLZ,634729.21875,70391.9999999404,0.014793679585745068
BEL,47328446.0,18336491.99998474,0.014751559759984545
GRC,5336234.75,13686469.999984741,0.01403345074357798
HUN,11115326.0,5200149.0,0.013983312348697652
SLV,5182911.25,1186866.9999990463,0.013971294676107249
BOL,1858966.125,865653.9999990463,0.01385342687116875
NIC,1905601.625,529102.9999995232,0.013832392289581108
SMR,54280.23046875,88822.0,0.013817272321547946
DNK,19041228.5,12029410.999984741,0.01379542654305066
AUT,20723988.0,15627629.999984741,0.01361443137910534
TZA,336345.1328125,647144.0,0.01343379739753292
NLD,84471488.0,27661763.999969482,0.013296431546705456
POL,10208128.5,20982169.0,0.013288647326437086
GRL,14591.6298828125,129358.99999988079,0.013268327462578888
SUR,472645.75,153630.0,0.01292985796963464
LSO,164476.0859375,141452.0,0.012898507407110849
PRT,6012017.75,9529989.999984741,0.012614353610929108
SWE,32145775.0,18149469.0,0.012360902539176877
DZA,17174448.5,7244114.999992371,0.01217693008381815
BIH,136958.8671875,820254.9999990463,0.012164209073928234
VNM,3673606.875,4079528.9999961853,0.012048773704731452
KHM,1294469.53125,524753.0,0.011935024039977371
GEO,293285.671875,583807.0,0.011777769097554014
PER,11726681.0,5864882.999992371,0.011757457939731708
PRY,785279.78125,1019052.0,0.01139864443331362
GHA,1744214.4375,1363481.9999980927,0.011083951913581913
CHE,58802742.0,19941656.999969482,0.011079573372163587
TUN,888063.03125,1876140.9999961853,0.010847153971149659
ZAF,18953848.0,12201417.999984741,0.010559128513509819
QAT,2917802.125,3765269.0,0.010057071422786557
GTM,8635228.5,1647416.9999980927,0.01002492884538686
CHL,23929080.0,6356054.999984741,0.009997989355015058
PNG,128283.875,440449.9999990463,0.009737139653154259
ALB,72645.6015625,518811.0,0.009727304430251493
KGZ,141185.7861328125,195897.99999976158,0.00968036420558871
NPL,339200.890625,614322.9999990463,0.009395457815219999
NAM,109404.1484375,415610.9999990463,0.009373506750054439
GUY,41861968.890625,11381829.999984741,0.009365081034129474
AZE,588822.921875,1262358.9999980927,0.009247250896904369
YEM,414821.046875,991459.9999980927,0.009134905741126076
COL,31861602.0,7846276.999984741,0.008994034542331164
ROU,4716754.75,5395970.999992371,0.008914135760118569
UKR,3016657.375,4452100.0,0.008846908234416695
MAR,2675332.25,2721984.9999923706,0.00876611241209524
SWZ,103117.14453125,140515.99999976158,0.008731745230838861
MYS,57672498.0,6849533.0,0.008671405471538662
NGA,20755450.25,6462495.999984741,0.008609640897816462
COG,988108.1875,260064.99999952316,0.008513843411495081
GBR,155846280.0,65714271.99987793,0.008424846369869954
ARM,243939.1484375,242761.99999952316,0.008160873521179113
THA,51851082.0,9552621.999984741,0.008007819350086542
COD,817774.234375,722399.0,0.007978837861633004
BTN,34368.67236328125,43104.0,0.007945438813239392
RUS,36471050.0,41088935.999938965,0.007944587398611702
TUR,19535327.0,19679030.999969482,0.007878381729464756
TGO,37312.4853515625,108429.99999976158,0.007849475737087275
BWA,89205.8203125,452813.9999990463,0.007830315448731362
LKA,3261148.75,1601607.9999961853,0.007827727577058852
CIV,964142.03125,481327.9999990463,0.007820512047485018
AUS,95570286.0,28896361.999938965,0.007692983301432754
PSE,184195.69921875,275232.99999952316,0.007618753977856052
ARG,18918658.0,9469930.999984741,0.007502983725027335
MDG,483161.03125,258377.0,0.007455483300322641
KEN,746292.40625,847447.0,0.0072955596130519496
HTI,1442820.25,172447.99999952316,0.007113543188697058
VUT,13808.4140625,17174.999999970198,0.006766943110569912
ZMB,153080.5234375,385636.9999990463,0.006762814117045046
SGP,96271268.0,7028264.999984741,0.006694881234037275
GIN,210629.64453125,108589.99999976158,0.00649164430801541
SRB,505847.078125,913789.9999980927,0.006417337429187597
ESP,42483310.0,30103199.999938965,0.006411029844244354
CUB,15465.98583984375,1352373.9999961853,0.006348109694198634
FRA,107797856.0,48216313.99987793,0.006313188248263657
MWI,146123.080078125,121440.99999976158,0.0062598834686511395
SYR,513831.90625,1204307.9999961853,0.0062368716952754255
CMR,440463.734375,517422.9999990463,0.006142811669773707
KAZ,3112597.0,2790556.9999923706,0.006122575714795353
VEN,111413954.0,6623817.999984741,0.006105026494163113
