,us_trade_volume,absolute_difference,relative_loss
ABW,1218631.3125,424135.9999998808,0.04838903655455251
BHS,3858436.875,1259417.9999995232,0.04356873371562653
ETH,427730.3828125,339864.9999998808,0.03964567303083033
MAC,3594171.25,2358125.9999990463,0.038467261563202015
MLT,1313572.75,1046231.0,0.03664391448916504
TTO,16909514.5,2073037.9999990463,0.03563926304535059
FJI,248929.7890625,400501.0,0.030323165853562983
ISL,1097499.0625,1349618.0,0.028883225639297905
BHR,1408736.75,1976091.9999990463,0.027627464431945192
EST,1032329.0,1587427.9999990463,0.025421815227089084
ZWE,115172.3740234375,77025.9999999404,0.02500521361266106
LTU,1321183.1875,2911835.9999980927,0.02478686971214561
LUX,3291528.75,4222533.0,0.02404822945354379
MDV,79276.5078125,201500.9999998808,0.023983867209764753
CYP,657809.109375,2119473.9999980927,0.02381458201237141
LVA,592700.75,2088340.9999980927,0.023738643473691923
SVN,2386758.625,3690294.9999980927,0.022743123302149115
ANT,1057807.6875,322861.0,0.022595141919556916
JAM,4302906.875,1210747.0,0.022040661034439246
TWN,51305684.0,14385405.99999237,0.02172827882995776
TKM,300112.06640625,1672306.9999990463,0.02090079805368017
CHN,508843800.0,399268557.9995117,0.020649957743512637
HRV,1673344.875,3998512.9999961853,0.020254130558639005
CZE,8682917.5,11639657.99999237,0.02000083575017797
NCL,98672.9375,665260.9999995232,0.01996019141039529
PAN,7928041.0,2254540.9999980927,0.019914899673678654
SYC,57928.1328125,107640.99999988079,0.019755906879126428
ARE,14760182.25,22610433.99998474,0.019640934454101533
SVK,1939892.375,6766676.999992371,0.019443727046231096
BRN,565124.96875,642825.9999995232,0.01925028145508545
PYF,483055.0,486128.99999952316,0.018968620490289467
CRI,12121844.0,2400845.9999980927,0.01798067190221797
JOR,1396983.5625,2076081.9999980927,0.017853252822686017
MNG,362454.984375,410144.0,0.01715318240980146
MUS,586752.1875,629896.9999995232,0.017100383973844835
BRB,1148219.1875,264814.9999997616,0.016902773483962186
OMN,3187070.25,3122088.0,0.01685213835682653
MKD,325118.703125,698417.9999990463,0.016661955682129026
HND,6723380.75,1041058.9999990463,0.016606227531590356
URY,1375000.875,2376486.9999980927,0.01637173347592835
GAB,2822469.875,1086459.9999990463,0.016089149556219873
AGO,9942435.75,4195201.999996185,0.015734311375870114
FIN,14174527.0,10250702.999984741,0.015394882270891586
BGR,1604979.125,2507889.9999961853,0.015118165934491223
CYM,378705.697265625,143950.9999998808,0.014916726824054649
SAU,43341644.0,25178809.0,0.014912910813502656
VGB,78093.8046875,34504.9999999702,0.014439836153767871
AND,21856.353515625,166847.0,0.014306623253501627
BMU,546041.046875,308993.99999952316,0.014202645809846537
LBN,1175014.484375,2053123.9999980927,0.013974961762563964
NOR,18790816.0,15297851.999984741,0.01391444448204382
HUN,11115326.0,5041367.0,0.013556344140419618
ECU,9812580.0,2551484.0,0.013485688467018697
MRT,91564.2265625,181729.99999976158,0.013405596973559142
ALB,72645.6015625,703800.0,0.013195704906054928
ISR,36485988.0,9340230.0,0.013188779320150168
BIH,136958.8671875,887774.9999990463,0.0131655164681721
COG,988108.1875,398167.99999952316,0.013034972039549508
BOL,1858966.125,804272.9999990463,0.012871120782631529
TUN,888063.03125,2191631.9999961853,0.012671206349690323
TZA,336345.1328125,607300.0,0.012606692111072348
SLV,5182911.25,1056301.9999990463,0.012434338901456954
BLZ,634729.21875,59009.999999940395,0.012401622803093204
PER,11726681.0,6174786.999992371,0.012378729198747607
DNK,19041228.5,10753096.999984741,0.01233173924923836
SUR,472645.75,144577.0,0.012167936442608607
POL,10208128.5,19101775.0,0.012097736477301169
AUT,20723988.0,13683412.999984741,0.01192067430060284
GEO,293285.671875,583283.0,0.011767197879652969
DZA,17174448.5,6912545.999992371,0.011619582149546837
GRC,5336234.75,11296808.999984741,0.011583206821130787
DOM,12954048.5,2172275.0,0.011481171093064013
CHE,58802742.0,20659726.999969482,0.011478532658815155
ATG,360332.8168945313,44659.999999940395,0.011404897456013252
AZE,588822.921875,1549256.9999980927,0.011348885842132894
LSO,164476.0859375,123450.0,0.011256968720174676
GTM,8635228.5,1837417.9999980927,0.011181130648307835
KHM,1294469.53125,489800.0,0.011140050223201747
ARM,243939.1484375,328391.99999952316,0.011039477254959351
NAM,109404.1484375,485434.9999990463,0.010948286376466498
SWE,32145775.0,16070145.0,0.010944755250696936
BEL,47328446.0,13273965.999984741,0.01067879846925468
PRY,785279.78125,952649.0,0.010655891181943211
NIC,1905601.625,399910.99999952316,0.010454912999779964
GRL,14591.6298828125,100575.99999988079,0.010316060752457723
SWZ,103117.14453125,165422.99999976158,0.010279480566777188
VNM,3673606.875,3471439.9999961853,0.010252800014298735
SMR,54280.23046875,65852.0,0.010244027571082448
NLD,84471488.0,20888739.999969482,0.010040780533993043
GHA,1744214.4375,1234434.9999980927,0.010034909284062365
ZAF,18953848.0,11591420.999984741,0.010031236041019298
PRT,6012017.75,7431038.999984741,0.009836081007708053
YEM,414821.046875,1058526.9999980927,0.009752833568121844
NZL,12762719.5,4198447.999992371,0.009472228006646155
KGZ,141185.7861328125,179858.99999976158,0.00888779173680021
BTN,34368.67236328125,48178.0,0.008880738473093786
KOR,141174056.0,22426363.999969482,0.008853755792159745
MAR,2675332.25,2626087.9999923706,0.008457277542706088
UKR,3016657.375,4235746.0,0.008416984381831583
ROU,4716754.75,5043892.999992371,0.008332503447761042
NPL,339200.890625,540647.9999990463,0.008268672142963673
COD,817774.234375,742396.0,0.00819970309084983
CHL,23929080.0,5146958.999984741,0.00809609754677254
MDG,483161.03125,278516.0,0.008036595311788908
BWA,89205.8203125,464721.9999990463,0.008036235310671103
ZMB,153080.5234375,440162.9999990463,0.007719022163854561
CUB,15465.98583984375,1568612.9999961853,0.007363146135408449
RUS,36471050.0,37525519.999938965,0.007255597305277917
VUT,13808.4140625,18331.999999970198,0.00722280064644476
GIN,210629.64453125,120053.99999976158,0.007176976385991907
KEN,746292.40625,832356.0,0.00716564318155033
NGA,20755450.25,5321934.999984741,0.007090131929121668
CIV,964142.03125,426551.9999990463,0.006930523582404646
LAO,31861.62109375,144323.99999976158,0.006864346911306107
TUR,19535327.0,17137399.999969482,0.0068608550416238145
CPV,34222.823486328125,48811.99999988079,0.006787240013794715
LKA,3261148.75,1367557.9999961853,0.006683827422082622
KAZ,3112597.0,3012493.9999923706,0.006609512941446738
CMR,440463.734375,555839.9999990463,0.006598895755560719
MWI,146123.080078125,122816.99999976158,0.006330811735488773
TJK,66589.34521484375,122318.99999976158,0.006292786196393507
PSE,184195.69921875,225398.99999952316,0.006239293717880123
SYR,513831.90625,1189489.9999961853,0.006160132219346082
IRQ,8428272.37890625,3448109.9999923706,0.006101841254690932
ARG,18918658.0,7672381.999984741,0.006078793739705546
QAT,2917802.125,2251331.0,0.006013327776410726
IRN,724465.6875,7402772.999984741,0.005861873123658157
SEN,145734.1015625,389974.9999990463,0.005737571094277527
GUY,41861968.890625,6970482.999984741,0.005735381581173371
HTI,1442820.25,134862.99999952316,0.005563148166731757
UGA,162228.0234375,383753.9999990463,0.005413773342688444
TGO,37312.4853515625,72603.99999976158,0.005255956252092631
GBR,155846280.0,40940823.99987793,0.005248786024059093
ESP,42483310.0,24333926.999938965,0.005182357099076107
BGD,4673131.4375,1772142.0,0.005126562456503336
SRB,505847.078125,724189.9999980927,0.005085820147776587
PAK,5880136.25,3442591.9999923706,0.005017527649697762
WSM,38979.8671875,9961.999999970198,0.004924524810778763
IND,81477974.0,25636014.999938965,0.004808140191459032
BFA,87978.58203125,136608.99999952316,0.004781571968837106
STP,7837.00634765625,4381.999999985099,0.00449483058579947
EGY,7074746.5,3861779.999984741,0.004152595189532704
LBR,132944.08203125,14688.999999940395,0.003943324634470002
MLI,117191.0859375,127188.99999952316,0.0038617269716656466
SLE,84468.23046875,39426.99999988079,0.003839926891102685
ITA,95505772.0,22529749.0,0.0036610270007786383
FRA,107797856.0,26540027.99987793,0.0034750104057623687
TCD,316134.2734375,67335.99999976158,0.003367505239770807
AFG,92800.90698242188,178583.0,0.0032338340876902905
BEN,44366.4384765625,75638.99999952316,0.00314463630131101
MNE,81476.9375,51725.99999976158,0.0031431993362973643
BRA,96623176.0,18948936.99987793,0.0030519425133546108
MOZ,85059.93359375,137626.0,0.0029953987048969566
DJI,22510.548828125,13156.999999940395,0.0028412186869442024
RWA,117397.95703125,55140.99999976158,0.0027726997411825494
DEU,271554080.0,24756947.99987793,0.002767308535767121
NER,119811.49609375,67836.99999952316,0.002684538250807833
CAF,13161.22021484375,16555.0,0.002614864704253428
PRK,9270.873657226562,96309.99999952316,0.002505273899400251
GMB,15639.9619140625,9124.999999940395,0.002447760137846977
IDN,37345566.0,5632022.999969482,0.002366012821752861
JPN,326602176.0,37915072.99975586,0.0021450967438552127
ERI,38362.56298828125,13338.99999988079,0.0016844809461069588
BDI,24721.984375,8497.99999988079,0.00111627087553412
UZB,579141.2734375,111272.99999809265,0.0007959400102341974
LIE,85031.373046875,9089.999999761581,0.0005242598249299846
MCO,53474.330078125,8700.999999761581,0.0004990723196929281
SOM,4684.97216796875,983.9999999403954,0.0002749733085005701
COL,31861602.0,315684.0000152588,-0.0003618624222156974
THA,51851082.0,554520.0000152588,-0.0004648457759715008
AUS,95570286.0,1952547.0000610352,-0.0005198201582179429
MMR,336746.16796875,88312.00000190735,-0.0006589711053717195
HKG,62276246.0,2731743.0,-0.0019366895453676314
LBY,45471.993896484375,414676.00000190735,-0.0030497663721651413
MYS,57672498.0,3373744.0,-0.004271109020304031
VEN,111413954.0,5023440.000015259,-0.0046299935010263304
PHL,32187226.0,4560187.000015259,-0.006207408446723406
KWT,16169723.0,2164629.0000038147,-0.00763140241412108
PNG,128283.875,359029.0000009537,-0.007937144993874767
SGP,96271268.0,14230394.000015259,-0.013555379278384905
IRL,61411240.0,10376092.00000763,-0.01979499762428949
CAN,854244000.0,422880401.00006104,-0.08047627171600125
MEX,466219376.0,397390931.00006104,-0.11784591113711551
