,us_trade_volume,absolute_difference,relative_loss
ABW,1218631.3125,408325.9999998808,0.04658529749932416
MAC,3594171.25,2761954.9999990463,0.04505477884166886
ETH,427730.3828125,374590.9999998808,0.043696503924461894
TTO,16909514.5,2433637.9999990463,0.04183862757902723
BHS,3858436.875,1176946.9999995232,0.04071570395245416
ISL,1097499.0625,1663206.0,0.03559433423578895
MLT,1313572.75,980256.0,0.03433316068963688
BHR,1408736.75,2331161.9999990463,0.03259164818241178
BRN,565124.96875,1062848.9999995232,0.03182843007947245
VGB,78093.8046875,69490.9999999702,0.02908096374909519
LVA,592700.75,2533708.9999980927,0.028801242046716524
LTU,1321183.1875,3301123.9999980927,0.02810066586567128
MDV,79276.5078125,233561.9999998808,0.02779996125701345
CYP,657809.109375,2361967.9999980927,0.026539264292257947
LUX,3291528.75,4618773.0,0.026304901086104948
ZWE,115172.3740234375,79516.9999999404,0.02581387545554925
CZE,8682917.5,14789308.99999237,0.025412992389273192
FJI,248929.7890625,335188.0,0.02537811719851568
BRB,1148219.1875,391959.9999997616,0.025018262163301053
ANT,1057807.6875,351449.0,0.024595847849351316
SYC,57928.1328125,131860.9999998808,0.024201128166678743
NCL,98672.9375,792577.9999995232,0.023780153334795884
SVN,2386758.625,3827379.9999980927,0.023587972035898908
JAM,4302906.875,1232991.0,0.022445594900921684
MNG,362454.984375,527321.0,0.022053798913357348
JOR,1396983.5625,2515569.9999980927,0.021632626843803848
CHN,508843800.0,409755696.0,0.021192346950527075
TWN,51305684.0,13763436.99999237,0.02078883257063957
HRV,1673344.875,4098944.9999961853,0.020762860389034188
SVK,1939892.375,7131468.999992371,0.02049193964401841
PYF,483055.0,515265.99999952316,0.020105538253312183
CRI,12121844.0,2557012.9999980927,0.01915025445309304
PAN,7928041.0,2145655.9999980927,0.018953092436202468
ARE,14760182.25,21716800.99998474,0.0188646650919555
GAB,2822469.875,1235067.9999990463,0.018289853067865458
OMN,3187070.25,3367220.0,0.018175290804700595
TKM,300112.06640625,1441806.9999990463,0.018019966991333902
GRL,14591.6298828125,171269.9999998808,0.0175671305786107
SMR,54280.23046875,111698.0,0.017375894302884554
AND,21856.353515625,199673.0,0.017121353005422613
BGR,1604979.125,2831160.9999961853,0.01706692150982292
AGO,9942435.75,4507178.999996185,0.01690439645405384
MKD,325118.703125,706637.9999990463,0.016858057838287088
LBN,1175014.484375,2474839.9999980927,0.016845448384250616
MUS,586752.1875,617021.9999995232,0.01675085469579063
URY,1375000.875,2388483.9999980927,0.016454381387132067
SAU,43341644.0,27611038.0,0.01635347196771164
FIN,14174527.0,10712218.999984741,0.016088003951031382
DOM,12954048.5,3027423.0,0.016000902940049855
HND,6723380.75,978986.9999990463,0.015616099445336928
VNM,3673606.875,5098098.999996185,0.015057091437609138
DZA,17174448.5,8556595.99999237,0.014383133239537216
MRT,91564.2265625,191742.99999976158,0.014144221540202118
POL,10208128.5,22071834.0,0.013978765392352877
NIC,1905601.625,534491.9999995232,0.013973277451917454
BMU,546041.046875,303530.99999952316,0.013951543671741895
TZA,336345.1328125,657604.0,0.013650932255893089
BIH,136958.8671875,902311.9999990463,0.013381097119680163
LSO,164476.0859375,144669.0,0.013191854254990254
ALB,72645.6015625,701924.0,0.013160531359002192
NAM,109404.1484375,562154.9999990463,0.012678595338133647
GHA,1744214.4375,1555155.9999980927,0.012642098921822331
BLZ,634729.21875,59172.999999940395,0.012435879107397518
HUN,11115326.0,4551451.0,0.01223894949409221
SLV,5182911.25,1037240.9999990463,0.012209960898013072
AUT,20723988.0,13859508.999984741,0.012074085080637786
NOR,18790816.0,13267841.999984741,0.01206801130677615
ISR,36485988.0,8504770.0,0.012009076296681798
TUN,888063.03125,2060945.9999961853,0.011915628190117822
BOL,1858966.125,732758.9999990463,0.011726652011878613
PER,11726681.0,5847430.999992371,0.011722471537467527
GRC,5336234.75,10794119.999984741,0.011067773599782171
GTM,8635228.5,1793989.9999980927,0.010916860818688257
KHM,1294469.53125,476267.0,0.010832254592996193
SUR,472645.75,127341.0,0.010717314611152773
DNK,19041228.5,9289839.999984741,0.010653664199922197
CYM,378705.697265625,101178.99999988079,0.01048453642789049
CHL,23929080.0,6627841.999984741,0.010425506664546447
HKG,62276246.0,14547093.0,0.010313269926398583
SWE,32145775.0,15099268.0,0.010283528414012366
PRT,6012017.75,7747736.999984741,0.010255277728776768
YEM,414821.046875,1111739.9999980927,0.01024311632205066
COG,988108.1875,307318.99999952316,0.010060814963086528
SWZ,103117.14453125,161601.99999976158,0.010042041424429549
BTN,34368.67236328125,51633.0,0.009517604914721645
COD,817774.234375,860063.0,0.009499325480488707
ATG,360332.8168945313,36438.999999940395,0.009305487201061169
ARM,243939.1484375,275082.99999952316,0.009247401038159353
ZAF,18953848.0,10549377.999984741,0.009129450203215761
CIV,964142.03125,552556.9999990463,0.008977825257239225
BEL,47328446.0,11084203.999984741,0.008917152621013003
PSE,184195.69921875,313732.99999952316,0.008684476577069944
ROU,4716754.75,5233536.999992371,0.008645795042938609
