,us_trade_volume,absolute_difference,relative_loss
TTO,16909514.5,2789068.9999990463,0.04794912767767112
ABW,1218631.3125,399208.9999998808,0.04554515271966153
MAC,3594171.25,2518727.9999990463,0.041087104244019734
ETH,427730.3828125,342133.9999998808,0.03991035469004256
MLT,1313572.75,1135845.0,0.03978261689143725
BHS,3858436.875,976024.9999995232,0.03376494009517117
BRN,565124.96875,1100446.9999995232,0.03295435230747934
ISL,1097499.0625,1530731.0,0.032759231772305775
EST,1032329.0,1769428.9999990463,0.028336464454126187
MDV,79276.5078125,233259.9999998808,0.027764015391240626
BHR,1408736.75,1860080.9999990463,0.026005530951001
CYP,657809.109375,2233130.9999980927,0.025091641295849065
LTU,1321183.1875,2820980.9999980927,0.02401347071312454
ZWE,115172.3740234375,73559.9999999404,0.023880034187784283
SYC,57928.1328125,122413.99999988079,0.02246727162236173
CHN,508843800.0,401842930.9995117,0.0207831029476635
BRB,1148219.1875,324943.9999997616,0.020740724003442956
MNG,362454.984375,490828.0,0.020527576206985643
CZE,8682917.5,11807998.99999237,0.020290102040565472
HRV,1673344.875,3927421.9999961853,0.01989402509054994
SVN,2386758.625,3224785.9999980927,0.019874212121528956
LVA,592700.75,1740661.9999980927,0.019786497811513648
FJI,248929.7890625,255516.0,0.019345904370382527
GAB,2822469.875,1275472.9999990463,0.018888201914402103
PAN,7928041.0,2131103.9999980927,0.01882455114108339
AND,21856.353515625,209221.0,0.017940064992005844
NCL,98672.9375,585157.9999995232,0.017556817076780362
MUS,586752.1875,641900.9999995232,0.017426267426579045
AGO,9942435.75,4641564.999996185,0.01740841775470514
PYF,483055.0,430670.99999952316,0.016804664513259127
MKD,325118.703125,694910.9999990463,0.016578290200164325
JOR,1396983.5625,1923352.9999980927,0.016539860841846554
BGR,1604979.125,2710763.9999961853,0.016341139348718947
CRI,12121844.0,2165673.9999980927,0.01621939667981742
LUX,3291528.75,2811580.0,0.01601255004211044
SVK,1939892.375,5244699.999992371,0.015070397957406279
TKM,300112.06640625,1203507.9999990463,0.015041662603798578
JAM,4302906.875,824663.0,0.01501231690075322
URY,1375000.875,2171443.9999980927,0.014959182367046964
HND,6723380.75,889994.9999990463,0.014196562799972945
SAU,43341644.0,23801968.0,0.014097435107829348
OMN,3187070.25,2598204.0,0.014024362313702632
GRL,14591.6298828125,136550.9999998808,0.014006009503342298
BMU,546041.046875,301231.99999952316,0.013845872096518441
NIC,1905601.625,524868.9999995232,0.013721702406988001
VGB,78093.8046875,32494.999999970198,0.013598680649673511
LBN,1175014.484375,1974409.9999980927,0.013439180611407586
DOM,12954048.5,2524273.0,0.013341593582127942
TUN,888063.03125,2219546.9999961853,0.012832600564260943
FIN,14174527.0,8526618.999984741,0.012805589594555578
MRT,91564.2265625,172241.99999976158,0.012705699850990015
ALB,72645.6015625,677658.0,0.012705562653070324
ANT,1057807.6875,181129.0,0.012676153083668318
BOL,1858966.125,784862.9999990463,0.012560494348079487
TZA,336345.1328125,602243.0,0.012501715918089573
DZA,17174448.5,7326597.999992371,0.012315579142274657
LSO,164476.0859375,132642.0,0.012095154677860265
BIH,136958.8671875,814037.9999990463,0.012072012271935328
BLZ,634729.21875,56106.999999940395,0.01179152432828623
ATG,360332.8168945313,44751.999999940395,0.011428391646917113
TWN,51305684.0,7402991.999992371,0.011181768130286152
KHM,1294469.53125,483552.0,0.010997945213420124
GHA,1744214.4375,1341156.9999980927,0.01090246860360189
COG,988108.1875,327468.99999952316,0.01072047291299505
NAM,109404.1484375,469787.9999990463,0.010595390856105169
ARE,14760182.25,12161173.999984741,0.010564008696989369
SLV,5182911.25,887201.9999990463,0.01044376545915604
BTN,34368.67236328125,56517.0,0.010417881528579365
PER,11726681.0,5137991.999992371,0.010300243812988441
YEM,414821.046875,1111034.9999980927,0.010236620741244096
HUN,11115326.0,3688950.0,0.009919665780477871
GRC,5336234.75,9657190.999984741,0.009902021063123989
CPV,34222.823486328125,70871.99999988079,0.009854652017082799
ARM,243939.1484375,289367.99999952316,0.009727616550692098
SWZ,103117.14453125,153006.99999976158,0.009507943170428135
COD,817774.234375,815322.0,0.009005164795383713
AUT,20723988.0,10248031.999984741,0.008927849484208217
GTM,8635228.5,1450469.9999980927,0.00882645896114198
MAR,2675332.25,2715648.9999923706,0.00874570741786762
POL,10208128.5,13734669.0,0.008698584616606553
STP,7837.00634765625,8148.999999985099,0.008358825751653143
DNK,19041228.5,7160393.999984741,0.008211598177698676
LKA,3261148.75,1650289.9999961853,0.008065656854316927
WSM,38979.8671875,16240.999999970198,0.008028428774542462
CIV,964142.03125,486164.9999990463,0.007899102565334104
BWA,89205.8203125,452009.9999990463,0.007816412226624436
VNM,3673606.875,2615865.9999961853,0.007725886364795542
NGA,20755450.25,5791944.999984741,0.007716301340821019
SEN,145734.1015625,514714.9999990463,0.007572828785940011
KGZ,141185.7861328125,146906.99999976158,0.0072594578012452615
KEN,746292.40625,842313.0,0.007251361683202617
ROU,4716754.75,4322439.999992371,0.007140664205751435
MWI,146123.080078125,138395.99999976158,0.007133857861263415
SUR,472645.75,84236.0,0.007089497597667638
MDG,483161.03125,243773.0,0.0070340840344629285
PRT,6012017.75,5296819.999984741,0.007011125981604138
PSE,184195.69921875,250433.99999952316,0.006932290218442105
TUR,19535327.0,17104327.999969482,0.00684761486529073
CUB,15465.98583984375,1441446.9999961853,0.006766222712317749
UKR,3016657.375,3384972.0,0.006726384551125619
ZMB,153080.5234375,379898.9999990463,0.0066621883280104655
RUS,36471050.0,34376755.999938965,0.0066467805961645254
AZE,588822.921875,870374.9999980927,0.0063758217744736
CMR,440463.734375,523158.9999990463,0.0062109090827933144
SWE,32145775.0,9085646.0,0.006187882670904976
HTI,1442820.25,148863.99999952316,0.006140694547007719
NPL,339200.890625,399249.9999990463,0.006106130704397472
SYR,513831.90625,1176365.9999961853,0.0060921656326318185
PNG,128283.875,271277.9999990463,0.005997211422026361
GIN,210629.64453125,98046.99999976158,0.00586137074747306
TGO,37312.4853515625,80654.99999976158,0.005838785074008257
VUT,13808.4140625,14266.999999970198,0.005621192277049936
SMR,54280.23046875,35856.0,0.0055778086100355395
IRQ,8428272.37890625,3024184.9999923706,0.005351655485141826
BGD,4673131.4375,1778974.0,0.005146326490490516
PAK,5880136.25,3399002.9999923706,0.00495399731770263
ZAF,18953848.0,5646088.999984741,0.004886135312265338
UGA,162228.0234375,344696.9999990463,0.004862780400727296
SRB,505847.078125,672284.9999980927,0.0047213032464688
BFA,87978.58203125,134614.99999952316,0.00471177821801394
NOR,18790816.0,5078295.999984741,0.004619058136734466
LBR,132944.08203125,15969.999999940395,0.004287214542331164
NZL,12762719.5,1896137.9999923706,0.004277926383267072
GEO,293285.671875,207870.0,0.0041935860007003
MLI,117191.0859375,133779.99999952316,0.0040618436678574454
EGY,7074746.5,3754073.999984741,0.004036778281912845
TCD,316134.2734375,80149.99999976158,0.004008339446470721
IRN,724465.6875,5029162.999984741,0.003982334109697838
CYM,378705.697265625,37209.99999988079,0.0038558357018825262
PRY,785279.78125,322532.0,0.003607693804008605
NER,119811.49609375,89541.99999952316,0.0035434781027188222
GMB,15639.9619140625,11974.999999940395,0.0032122660439171113
BEN,44366.4384765625,75641.99999952316,0.003144761024120868
RWA,117397.95703125,59971.99999976158,0.003015620842528044
LAO,31861.62109375,63020.99999976158,0.0029974086548145706
NLD,84471488.0,6230286.999969482,0.002994768685460336
AFG,92800.90698242188,164679.0,0.0029820563196336636
DJI,22510.548828125,13704.999999940395,0.0029595578098673414
SLE,84468.23046875,28693.99999988079,0.002794604261380229
IND,81477974.0,14599164.999938965,0.002738133520296948
QAT,2917802.125,993895.0,0.0026547035555157805
PRK,9270.873657226562,101718.99999952316,0.0026459760748887007
MOZ,85059.93359375,112771.0,0.002454435261878274
MNE,81476.9375,40031.99999976158,0.0024325978392081282
GUY,41861968.890625,2556809.999984741,0.0021037682726543494
CAF,13161.22021484375,12648.0,0.0019977534750470483
ERI,38362.56298828125,12317.99999988079,0.0015555466147398889
BEL,47328446.0,1542865.9999847412,0.0012412232394565237
BDI,24721.984375,7945.999999880791,0.0010437618706671259
HKG,62276246.0,943537.0,0.000668927583435952
LIE,85031.373046875,3548.9999997615814,0.00020468626167335913
MCO,53474.330078125,2159.9999997615814,0.00012389336978557708
KAZ,3112597.0,32277.999992370605,7.081901529648604e-05
SOM,4684.97216796875,143.99999994039536,4.0239996357271934e-05
BRA,96623176.0,1134892.0001220703,-0.00018278730586906988
ESP,42483310.0,1055737.0000610352,-0.00022483860238065034
ARG,18918658.0,569829.0000152588,-0.0004514729529891959
IDN,37345566.0,1263714.0000305176,-0.0005308862423225591
ECU,9812580.0,211723.0,-0.001119046962205772
MMR,336746.16796875,178401.00000190735,-0.0013312019223832294
CHE,58802742.0,2672708.0000305176,-0.0014849550560747105
TJK,66589.34521484375,30417.00000023842,-0.0015648237619458882
UZB,579141.2734375,224111.00000190735,-0.0016030745251471856
ITA,95505772.0,10922984.0,-0.0017749571623260074
CHL,23929080.0,1578913.0000152588,-0.0024836089943636175
VEN,111413954.0,2932811.000015259,-0.0027031070082950137
FRA,107797856.0,22526640.00012207,-0.002949518682038299
ISR,36485988.0,2576550.0,-0.0036381919243266836
JPN,326602176.0,66561167.00024414,-0.0037657884134789654
LBY,45471.993896484375,623799.0000019073,-0.004587777477327304
KOR,141174056.0,14861993.000030518,-0.0058674003778347306
COL,31861602.0,7139121.000015259,-0.008183435389319538
DEU,271554080.0,77559549.00012207,-0.008669533982130773
GBR,155846280.0,72879167.00012207,-0.009343416077722821
AUS,95570286.0,35320352.000061035,-0.009403221005399587
PHL,32187226.0,10231363.000015259,-0.013927115073919527
THA,51851082.0,20502650.00001526,-0.01718706313285079
MYS,57672498.0,21074111.0,-0.02667950668069352
SGP,96271268.0,34633669.00001526,-0.032990830689338946
KWT,16169723.0,12694762.000003815,-0.04475540028953118
IRL,61411240.0,28586621.00000763,-0.0545361485597029
MEX,466219376.0,413120000.00006104,-0.12251035192588633
CAN,854244000.0,655803291.000061,-0.12480267166309345
