,day,US.NJ,US.NY
0,0,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
3,3,1.0,1.0
4,4,1.0,1.0
5,5,0.30768606,0.19771734
6,6,0.37918144,0.28233472
7,7,0.44329348,0.3580274
8,8,0.50078464,0.42573673
9,9,0.5523387,0.48630473
10,10,0.5985688,0.54048455
11,11,0.64002466,0.58895
12,12,0.67719936,0.6323038
13,13,0.71053505,0.67108494
14,14,0.74042815,0.70577586
15,15,0.76723415,0.7368079
16,16,0.7912719,0.76456696
17,17,0.8128273,0.78939825
18,18,0.83215666,0.8116106
19,19,0.84948987,0.83148015
20,20,0.8650331,0.8492541
21,21,0.87897116,0.8651534
22,22,0.89146984,0.87937576
23,23,0.9026778,0.89209807
24,24,0.91272825,0.90347856
25,25,0.92174083,0.91365874
26,26,0.9298226,0.92276525
27,27,0.9370699,0.93091124
28,28,0.9435687,0.9381981
29,29,0.9493964,0.9447164
30,30,0.9546222,0.9505472
31,31,0.9593084,0.95576304
32,32,0.9635106,0.9604287
33,33,0.9672789,0.96460235
34,34,0.970658,0.96833575
35,35,0.9736881,0.9716754
36,36,0.9764054,0.97466284
37,37,0.978842,0.97733516
38,38,0.981027,0.97972566
39,39,0.98298633,0.981864
40,40,0.98474336,0.9837768
41,41,0.9863189,0.9854879
42,42,0.98773175,0.98701847
43,43,0.9889987,0.98838764
44,44,0.9901348,0.9896124
45,45,0.9911536,0.990708
46,46,0.99206716,0.991688
47,47,0.99288636,0.9925647
48,48,0.993621,0.9933489
49,49,0.99427974,0.9940504
50,50,0.9948705,0.9946779
51,51,0.9954002,0.99523926
52,52,0.99587524,0.99574137
53,53,0.9963012,0.99619055
54,54,0.9966832,0.9965923
55,55,0.9970257,0.9969517
56,56,0.9973329,0.9972732
57,57,0.9976083,0.9975608
58,58,0.9978553,0.9978181
59,59,0.9980768,0.9980482
60,60,0.9982754,0.99825406
61,61,0.9984535,0.99843824
62,62,0.9986132,0.9986029
63,63,0.9987564,0.99875027
64,64,0.99888486,0.9988821
65,65,0.999,0.999
66,66,1.0,1.0
67,67,1.0,1.0
68,68,1.0,1.0
69,69,1.0,1.0
70,70,1.0,1.0
71,71,1.0,1.0
72,72,1.0,1.0
73,73,1.0,1.0
74,74,1.0,1.0
75,75,1.0,1.0
76,76,1.0,1.0
77,77,1.0,1.0
78,78,1.0,1.0
79,79,1.0,1.0
80,80,1.0,1.0
81,81,1.0,1.0
82,82,1.0,1.0
83,83,1.0,1.0
84,84,1.0,1.0
85,85,1.0,1.0
86,86,1.0,1.0
87,87,1.0,1.0
88,88,1.0,1.0
89,89,1.0,1.0
90,90,1.0,1.0
91,91,1.0,1.0
92,92,1.0,1.0
93,93,1.0,1.0
94,94,1.0,1.0
95,95,1.0,1.0
96,96,1.0,1.0
97,97,1.0,1.0
98,98,1.0,1.0
99,99,1.0,1.0
