,import_from_US,difference,relative_loss
BHS,3572547.5,1458754.9999995232,0.050464665544991405
TTO,2721872.5,2737045.9999990463,0.047054758456543944
ABW,555580.5625,396217.9999998808,0.04520391404072566
MAC,621698.25,2641295.9999990463,0.043086511958145834
ANT,641515.8125,601150.0,0.04207095178714315
ETH,301233.75,345648.9999998808,0.040320383791891956
MLT,363885.4375,1081642.0,0.03788417372061481
ISL,643171.5,1756514.0,0.03759122225739375
EST,318815.875,1931845.9999990463,0.03093748633589133
LUX,1479507.0,5261480.0,0.02996525505076786
BHR,871729.375,1992004.9999990463,0.027849941847724047
BRN,196665.53125,911528.9999995232,0.027296950970367995
LVA,171749.21875,2388087.9999980927,0.027145935273886757
BRB,1011969.8125,421230.9999997616,0.02688658942062716
TWN,21445430.0,17703023.99999237,0.026739338577286276
LTU,379097.4375,3021387.9999980927,0.02571942606170996
CYP,614279.875,2213056.9999980927,0.0248660882013807
VGB,55548.578125,59398.9999999702,0.024857609844897155
ZWE,110802.2890625,74990.9999999404,0.024344584608160247
MDV,25430.51171875,203622.9999998808,0.02423644047848672
FJI,49746.1796875,317140.0,0.024011647458554997
CZE,3898041.5,13358750.99999237,0.02295481401417554
SVN,599793.375,3673389.9999980927,0.022638938542018927
HRV,571895.25,4330346.999996185,0.0219350077146796
PAN,6451868.0,2456756.9999980927,0.021701121947925728
CRI,6181130.5,2849844.9999980927,0.021343363096648638
JAM,3354936.25,1157643.0,0.021073946053040693
JOR,1153229.125,2435085.9999980927,0.02094050524159563
NCL,41689.078125,695391.9999995232,0.020864228363381976
SYC,19295.1484375,109145.99999988079,0.02003212727705872
SVK,1081155.625,6893737.999992371,0.019808830833834
KWT,4360278.0,5607545.999996185,0.019769410869741044
CHN,134060280.0,378525484.9995117,0.019577137025872382
ARE,10575914.0,21919134.99998474,0.019040425930150207
SAU,21442848.0,31789114.0,0.018828063786568983
OMN,601714.75,3425818.0,0.018491586054358855
CYM,370257.9375,177713.9999998808,0.018415371833557792
TKM,238264.75,1452710.9999990463,0.018156247173140017
KOR,70425176.0,45640783.99996948,0.018018630023952653
PYF,286803.9375,455949.99999952316,0.01779104417252153
MNG,133604.796875,423642.0,0.017717700374642043
URY,827954.6875,2556163.9999980927,0.01760953698832779
FIN,5584112.0,11689862.999984741,0.017556265618834388
MKD,99541.015625,733718.9999990463,0.01750412140169022
MUS,156315.21875,633149.9999995232,0.01718869610911611
AGO,1684576.25,4507109.999996185,0.01690413766615162
HND,3786553.0,1044645.9999990463,0.016663444786479964
ATG,357385.0,65130.999999940395,0.016632610304689877
GAB,332997.375,1118877.9999990463,0.01656922065897959
AND,16216.2763671875,192226.0,0.01648279538455366
HKG,29264344.0,22888691.0,0.016227107955169018
BGR,591885.875,2688454.9999961853,0.01620665531478771
BMU,514863.53125,352451.99999952316,0.01620015573431388
NOR,8948894.0,17760754.99998474,0.016154623499198273
NZL,7709516.5,7015584.999992371,0.01582804424873352
LBN,933660.6875,2304462.9999980927,0.015685746359328512
DOM,5625808.0,2919880.0,0.015432503643064699
ISR,11307706.0,10907849.0,0.015402320212509757
MRT,85662.546875,204353.99999976158,0.015074491630073794
ECU,4306713.5,2807149.0,0.014836987766542187
BLZ,442027.9375,70391.9999999404,0.014793679585745068
BEL,26396802.0,18336491.99998474,0.014751559759984545
GRC,2815631.5,13686469.999984741,0.01403345074357798
HUN,2660249.0,5200149.0,0.013983312348697652
SLV,3206414.5,1186866.9999990463,0.013971294676107249
BOL,1032289.3125,865653.9999990463,0.01385342687116875
NIC,1198633.75,529102.9999995232,0.013832392289581108
SMR,17071.2578125,88822.0,0.013817272321547946
DNK,5844552.5,12029410.999984741,0.01379542654305066
AUT,8175570.0,15627629.999984741,0.01361443137910534
TZA,211674.25,647144.0,0.01343379739753292
NLD,47524344.0,27661763.999969482,0.013296431546705456
POL,5810512.5,20982169.0,0.013288647326437086
GRL,7619.19287109375,129358.99999988079,0.013268327462578888
SUR,300140.375,153630.0,0.01292985796963464
LSO,46933.4921875,141452.0,0.012898507407110849
PRT,1637757.75,9529989.999984741,0.012614353610929108
SWE,11157809.0,18149469.0,0.012360902539176877
DZA,2528205.5,7244114.999992371,0.01217693008381815
BIH,62320.375,820254.9999990463,0.012164209073928234
