,export_to_US,difference,relative_loss
BHS,285889.375,1458754.9999995232,0.050464665544991405
TTO,14187642.0,2737045.9999990463,0.047054758456543944
ABW,663050.75,396217.9999998808,0.04520391404072566
MAC,2972473.0,2641295.9999990463,0.043086511958145834
ANT,416291.875,601150.0,0.04207095178714315
ETH,126496.6328125,345648.9999998808,0.040320383791891956
MLT,949687.3125,1081642.0,0.03788417372061481
ISL,454327.5625,1756514.0,0.03759122225739375
EST,713513.125,1931845.9999990463,0.03093748633589133
LUX,1812021.75,5261480.0,0.02996525505076786
BHR,537007.375,1992004.9999990463,0.027849941847724047
BRN,368459.4375,911528.9999995232,0.027296950970367995
LVA,420951.53125,2388087.9999980927,0.027145935273886757
BRB,136249.375,421230.9999997616,0.02688658942062716
TWN,29860254.0,17703023.99999237,0.026739338577286276
LTU,942085.75,3021387.9999980927,0.02571942606170996
CYP,43529.234375,2213056.9999980927,0.0248660882013807
VGB,22545.2265625,59398.9999999702,0.024857609844897155
ZWE,4370.0849609375,74990.9999999404,0.024344584608160247
MDV,53845.99609375,203622.9999998808,0.02423644047848672
FJI,199183.609375,317140.0,0.024011647458554997
CZE,4784876.0,13358750.99999237,0.02295481401417554
SVN,1786965.25,3673389.9999980927,0.022638938542018927
HRV,1101449.625,4330346.999996185,0.0219350077146796
PAN,1476173.0,2456756.9999980927,0.021701121947925728
CRI,5940713.5,2849844.9999980927,0.021343363096648638
JAM,947970.625,1157643.0,0.021073946053040693
JOR,243754.4375,2435085.9999980927,0.02094050524159563
NCL,56983.859375,695391.9999995232,0.020864228363381976
SYC,38632.984375,109145.99999988079,0.02003212727705872
SVK,858736.75,6893737.999992371,0.019808830833834
KWT,11809445.0,5607545.999996185,0.019769410869741044
CHN,374783520.0,378525484.9995117,0.019577137025872382
ARE,4184268.25,21919134.99998474,0.019040425930150207
SAU,21898796.0,31789114.0,0.018828063786568983
OMN,2585355.5,3425818.0,0.018491586054358855
CYM,8447.759765625,177713.9999998808,0.018415371833557792
TKM,61847.31640625,1452710.9999990463,0.018156247173140017
KOR,70748880.0,45640783.99996948,0.018018630023952653
PYF,196251.0625,455949.99999952316,0.01779104417252153
MNG,228850.1875,423642.0,0.017717700374642043
URY,547046.1875,2556163.9999980927,0.01760953698832779
FIN,8590415.0,11689862.999984741,0.017556265618834388
MKD,225577.6875,733718.9999990463,0.01750412140169022
MUS,430436.96875,633149.9999995232,0.01718869610911611
AGO,8257859.5,4507109.999996185,0.01690413766615162
HND,2936827.75,1044645.9999990463,0.016663444786479964
ATG,2947.81689453125,65130.999999940395,0.016632610304689877
GAB,2489472.5,1118877.9999990463,0.01656922065897959
AND,5640.0771484375,192226.0,0.01648279538455366
HKG,33011902.0,22888691.0,0.016227107955169018
BGR,1013093.25,2688454.9999961853,0.01620665531478771
BMU,31177.515625,352451.99999952316,0.01620015573431388
NOR,9841922.0,17760754.99998474,0.016154623499198273
NZL,5053203.0,7015584.999992371,0.01582804424873352
LBN,241353.796875,2304462.9999980927,0.015685746359328512
DOM,7328240.5,2919880.0,0.015432503643064699
ISR,25178282.0,10907849.0,0.015402320212509757
MRT,5901.6796875,204353.99999976158,0.015074491630073794
ECU,5505866.5,2807149.0,0.014836987766542187
BLZ,192701.28125,70391.9999999404,0.014793679585745068
BEL,20931644.0,18336491.99998474,0.014751559759984545
GRC,2520603.25,13686469.999984741,0.01403345074357798
HUN,8455077.0,5200149.0,0.013983312348697652
SLV,1976496.75,1186866.9999990463,0.013971294676107249
BOL,826676.8125,865653.9999990463,0.01385342687116875
NIC,706967.875,529102.9999995232,0.013832392289581108
SMR,37208.97265625,88822.0,0.013817272321547946
DNK,13196676.0,12029410.999984741,0.01379542654305066
AUT,12548418.0,15627629.999984741,0.01361443137910534
TZA,124670.8828125,647144.0,0.01343379739753292
NLD,36947144.0,27661763.999969482,0.013296431546705456
POL,4397616.0,20982169.0,0.013288647326437086
GRL,6972.43701171875,129358.99999988079,0.013268327462578888
SUR,172505.375,153630.0,0.01292985796963464
LSO,117542.59375,141452.0,0.012898507407110849
PRT,4374260.0,9529989.999984741,0.012614353610929108
SWE,20987966.0,18149469.0,0.012360902539176877
DZA,14646243.0,7244114.999992371,0.01217693008381815
BIH,74638.4921875,820254.9999990463,0.012164209073928234
VNM,1181139.375,4079528.9999961853,0.012048773704731452
KHM,1196872.75,524753.0,0.011935024039977371
GEO,111357.578125,583807.0,0.011777769097554014
PER,5220526.0,5864882.999992371,0.011757457939731708
PRY,357596.96875,1019052.0,0.01139864443331362
GHA,1170113.25,1363481.9999980927,0.011083951913581913
CHE,34425288.0,19941656.999969482,0.011079573372163587
