,region,consumption_deviation,consumption_loss
ABW,ABW,0.04746410974278303,396.2180000001099
AFG,AFG,0.004242073306905533,223.10599999967963
AGO,AGO,0.01774934454947729,4507.109999999404
ALB,ALB,0.010213669651779035,518.8110000006855
AND,AND,0.017306935153760267,192.22599999979138
ANT,ANT,0.044174499376504264,601.1500000001397
ARE,ARE,0.019992447226676785,21919.135000005364
ARG,ARG,0.007878132911297579,9469.93100000918
ARM,ARM,0.008568917197258063,242.7620000001043
ATG,ATG,0.017464240819934113,65.13099999993574
AUS,AUS,0.008077632466523429,28896.361999988556
AUT,AUT,0.014295152948096433,15627.630000025034
AZE,AZE,0.009709613441774272,1262.3590000011027
BDI,BDI,0.0013009061241360408,9.431999999913387
BEL,BEL,0.01548913774801919,18336.49200001359
BEN,BEN,0.0038311605569425226,87.76399999996647
BFA,BFA,0.005274239195511486,143.50899999961257
BGD,BGD,0.005330399451582396,1754.8609999977052
BGR,BGR,0.01701698808054258,2688.454999998212
BHR,BHR,0.029242438940132467,1992.0050000008196
BHS,BHS,0.05298789882224288,1458.7549999998882
BIH,BIH,0.012772419527627935,820.2549999998882
BLR,BLR,,
BLZ,BLZ,0.015533363565045635,70.39199999999255
BMU,BMU,0.01701016352106545,352.45200000004843
BOL,BOL,0.01454609821475589,865.6540000000969
BRA,BRA,0.004082977242959848,24143.274000048637
BRB,BRB,0.028230918891654695,421.2309999996796
BRN,BRN,0.02866179851889188,911.5289999996312
BTN,BTN,0.008342710753907894,43.10400000005029
BWA,BWA,0.00822183122119626,452.81400000024587
CAF,CAF,0.002346080936945267,14.145999999833293
CAN,CAN,-0.05344280677205758,-267454.3519999981
CHE,CHE,0.011633552040798285,19941.657000005245
CHL,CHL,0.010497888822795795,6356.054999999702
CIV,CIV,0.008211537649879617,481.328000000678
CMR,CMR,0.006449952253271632,517.4229999994859
CN.AH,CN.AH,0.01866335741484701,10258.030999988317
CN.BJ,CN.BJ,0.02468830965126685,14096.093000002205
CN.CQ,CN.CQ,0.020751029095750117,7554.406000003219
CN.FJ,CN.FJ,0.02409378234586215,15161.449000000954
CN.GD,CN.GD,0.019493822999474525,35563.29599997401
CN.GS,CN.GS,0.02547985087582234,4584.877999998629
CN.GX,CN.GX,0.019956638712173815,8303.372000008821
CN.GZ,CN.GZ,0.024066933420202524,5255.14999999851
CN.HA,CN.HA,0.031313196904824356,2837.371000001207
CN.HB,CN.HB,0.01688972415762855,14340.578999996185
CN.HE,CN.HE,0.01659246206142516,15693.326000019908
CN.HL,CN.HL,0.01949789149506641,8522.052000008523
CN.HN,CN.HN,0.017583953036931974,12444.07000002265
CN.HU,CN.HU,0.017597692403464184,12507.979000002146
CN.JL,CN.JL,0.02030759618812874,7737.190999999642
CN.JS,CN.JS,0.019753340667801274,34134.93500003219
CN.JX,CN.JX,0.020030112951741133,8278.763000003994
CN.LN,CN.LN,0.02282817674137785,18120.597000017762
CN.NM,CN.NM,0.025337934151934593,12847.623000003397
CN.NX,CN.NX,0.03368466143418983,2499.9920000005513
CN.QH,CN.QH,0.03570572397686745,2140.5980000011623
CN.SA,CN.SA,0.019515215916891097,9004.889999993145
CN.SC,CN.SC,0.01725953223781677,13163.028999984264
CN.SD,CN.SD,0.019995239534142985,31966.06700000167
CN.SH,CN.SH,0.02398378235759214,15460.412999995053
CN.SX,CN.SX,0.020436851721310004,7899.987000003457
CN.TJ,CN.TJ,0.026908232248271456,11074.286999993026
CN.XJ,CN.XJ,0.02286040347383444,5468.912999995053
CN.XZ,CN.XZ,0.045832242047092325,1004.1110000000335
CN.YN,CN.YN,0.021236635445312617,6984.025000002235
CN.ZJ,CN.ZJ,0.0213193194242972,23618.011999994516
COD,COD,0.008377779754731706,722.3990000020713
COG,COG,0.00893953558207557,260.0649999999441
COL,COL,0.009443736269462663,7846.276999995112
CPV,CPV,0.005430508111315442,37.19500000006519
CRI,CRI,0.022410531251511916,2849.8450000006706
CUB,CUB,0.006665515178889463,1352.3739999942482
CYM,CYM,0.019336140425237524,177.7139999999199
CYP,CYP,0.026109392611477943,2213.05700000003
CZE,CZE,0.02410255471489178,13358.750999994576
DEU,DEU,0.005919920033453175,50438.953000187874
DJI,DJI,0.003978461977306757,17.5460000000312
DNK,DNK,0.014485197870210345,12029.41099998355
DOM,DOM,0.016204128825184017,2919.8799999952316
DZA,DZA,0.012785776588032021,7244.115000002086
ECU,ECU,0.015578837154889332,2807.149000003934
EGY,EGY,0.004994974153641695,4423.966999992728
ERI,ERI,0.0015336113617174239,11.565999999991618
ESP,ESP,0.006731581336455515,30103.199999928474
EST,EST,0.03248436065269886,1931.8459999999031
ETH,ETH,0.04233640298151194,345.6490000000922
FIN,FIN,0.018434078899794773,11689.862999998033
FJI,FJI,0.02521222983149847,317.1400000001304
FRA,FRA,0.006628847660670743,48216.31399989128
GAB,GAB,0.017397681691944986,1118.8779999995604
GBR,GBR,0.008846088688367105,65714.27199995518
GEO,GEO,0.012366657552421452,583.8070000000298
GHA,GHA,0.011638149509293585,1363.4820000007749
GIN,GIN,0.006816226523428885,108.58999999985099
GMB,GMB,0.0027028100380160395,9.59599999996135
GNQ,GNQ,0.0,0.0
GRC,GRC,0.014735123280755042,13686.469999983907
GRL,GRL,0.01393174383574495,129.35900000017136
GTM,GTM,0.01052617528766968,1647.4169999994338
GUY,GUY,0.00983333508586778,11381.830000013113
HKG,HKG,0.017038463352953885,22888.691000044346
HND,HND,0.017496617025812213,1044.6459999997169
HRV,HRV,0.023031758100451858,4330.347000002861
HTI,HTI,0.007469220348164735,172.4480000003241
HUN,HUN,0.014682477966146596,5200.149000003934
IDN,IDN,0.004994568310332307,11322.856000036001
IND,IND,0.004889142311341904,24826.572999954224
IRL,IRL,0.004301897791911457,2147.579000018537
IRN,IRN,0.0054781316449446235,6588.72199998796
IRQ,IRQ,0.0060142851919961285,3236.792999997735
ISL,ISL,0.03947078337030081,1756.5140000013635
ISR,ISR,0.016172436223114903,10907.848999992013
ITA,ITA,0.005325663905837961,31213.169999957085
JAM,JAM,0.022127643355722995,1157.6430000010878
JOR,JOR,0.021987530503679284,2435.0859999991953
JPN,JPN,0.0041832643096774485,70419.18899965286
KAZ,KAZ,0.006428704500555174,2790.557000003755
KEN,KEN,0.0076603375937112275,847.4470000006258
KGZ,KGZ,0.010164382415887432,195.8980000000447
KHM,KHM,0.012531775241979296,524.7530000004917
KOR,KOR,0.018919561525174718,45640.7840000093
KWT,KWT,0.020757881413252965,5607.546000000089
LAO,LAO,0.0052424687361001384,104.97500000032596
LBN,LBN,0.016470033677320535,2304.463000001386
LBR,LBR,0.0038839828201731024,13.77900000003865
LBY,LBY,0.0037115638951046794,480.62900000065565
LIE,LIE,0.00024283784300220437,4.010000000009313
LKA,LKA,0.008219113955936014,1601.6080000028014
LSO,LSO,0.013543432777452324,141.451999999932
LTU,LTU,0.02700539736481072,3021.388000000268
LUX,LUX,0.03146351780331073,5261.48000000231
LVA,LVA,0.028503232037592356,2388.087999999523
MAC,MAC,0.0452408375560661,2641.295999999158
MAR,MAR,0.009204418032709254,2721.9849999919534
MCO,MCO,0.00011647697502699911,1.9340000001247972
