,region,consumption_deviation,consumption_loss
ABW,ABW,0.05080848838229613,424.1359999999404
AFG,AFG,0.0033955257920925503,178.58300000056624
AGO,AGO,0.01652102694465554,4195.201999992132
ALB,ALB,0.013855490151329046,703.7999999988824
AND,AND,0.015021954416175404,166.84700000006706
ANT,ANT,0.023724899015546388,322.8610000000335
ARE,ARE,0.02062298117681902,22610.434000000358
ARG,ARG,0.006382733426693702,7672.381999999285
ARM,ARM,0.011591451117739543,328.3920000004582
ATG,ATG,0.011975142328838746,44.660000000032596
AUS,AUS,-0.0005458111661262911,-1952.5470000505447
AUT,AUT,0.01251670801566882,13683.413000017405
AZE,AZE,0.011916330134265202,1549.2570000011474
BDI,BDI,0.0011720844193211892,8.49800000002142
BEL,BEL,0.011212738392733883,13273.966000005603
BEN,BEN,0.0033018681163866476,75.63899999996647
BFA,BFA,0.005020650567281645,136.6089999997057
BGD,BGD,0.005382890579312944,1772.1419999934733
BGR,BGR,0.015874074231205418,2507.889999995008
BHR,BHR,0.029008837653539257,1976.0919999992475
BHS,BHS,0.04574717040141762,1259.4180000000633
BIH,BIH,0.013823792291570793,887.7749999985099
BLR,BLR,,
BLZ,BLZ,0.013021703943229008,59.0099999998929
BMU,BMU,0.014912778100355475,308.99399999994785
BOL,BOL,0.013514676821789365,804.273000000976
BRA,BRA,0.003204539639062983,18948.93700015545
BRB,BRB,0.017747912158168906,264.8149999999441
BRN,BRN,0.020212795527839476,642.8259999994189
BTN,BTN,0.00932477539675927,48.17800000007264
BWA,BWA,0.008438047076228307,464.72200000006706
CAF,CAF,0.0027456079394674667,16.555000000051223
CAN,CAN,-0.08450008530176484,-422880.4009999037
CHE,CHE,0.012052459291760624,20659.72699996829
CHL,CHL,0.008500902424129536,5146.958999991417
CIV,CIV,0.007277049761550708,426.55200000014156
CMR,CMR,0.00692884054336029,555.8400000007823
CN.AH,CN.AH,0.019731710408495234,10845.235000006855
CN.BJ,CN.BJ,0.026166710350542632,14940.204000011086
CN.CQ,CN.CQ,0.022256817986609247,8102.588000006974
CN.FJ,CN.FJ,0.025444278231071513,16011.273000001907
CN.GD,CN.GD,0.02017891639555583,36813.13700002432
CN.GS,CN.GS,0.028089134835743,5054.3960000015795
CN.GX,CN.GX,0.02130627482729984,8864.915999986231
CN.GZ,CN.GZ,0.02628155933870951,5738.725999999791
CN.HA,CN.HA,0.035778711456818706,3242.002999998629
CN.HB,CN.HB,0.017648337771135253,14984.695999979973
CN.HE,CN.HE,0.017278632231846766,16342.313000023365
CN.HL,CN.HL,0.0207608836190897,9074.07499999553
CN.HN,CN.HN,0.018488382615103754,13084.130000025034
CN.HU,CN.HU,0.018475970394392603,13132.23600000143
CN.JL,CN.JL,0.021756554782857564,8289.244000002742
CN.JS,CN.JS,0.02048843716398983,35405.22499999404
CN.JX,CN.JX,0.021404618698357834,8846.868000000715
CN.LN,CN.LN,0.023940146956186393,19003.259000003338
CN.NM,CN.NM,0.026970969328310956,13675.655000008643
CN.NX,CN.NX,0.038792592891723876,2879.0900000007823
CN.QH,CN.QH,0.041528751524830626,2489.695000000298
CN.SA,CN.SA,0.02077012139346183,9583.940000005066
CN.SC,CN.SC,0.018076880676334374,13786.381999999285
CN.SD,CN.SD,0.020763380765806836,33194.082000017166
CN.SH,CN.SH,0.025303762661565667,16311.297999992967
CN.SX,CN.SX,0.021876260360838437,8456.399000003934
CN.TJ,CN.TJ,0.028817471767541004,11860.049000002444
CN.XJ,CN.XJ,0.02483501947825401,5941.301999993622
CN.XZ,CN.XZ,0.0552925412437646,1211.37099999981
CN.YN,CN.YN,0.02283451017899702,7509.5130000039935
CN.ZJ,CN.ZJ,0.022201452079249975,24595.25800000131
COD,COD,0.00860968824537907,742.3959999997169
COG,COG,0.013686720641567913,398.168000000529
COL,COL,-0.0003799555432918776,-315.68399998545647
CPV,CPV,0.0071266020144809695,48.811999999918044
CRI,CRI,0.018879705497327638,2400.845999998972
CUB,CUB,0.0077313034422131196,1568.6130000017583
CYM,CYM,0.01566256316528039,143.95100000000093
CYP,CYP,0.025005311113001086,2119.4739999994636
CZE,CZE,0.021000877537694793,11639.65799999237
DEU,DEU,0.0029056739625729663,24756.947999954224
DJI,DJI,0.0029832796213015997,13.15700000000652
DNK,DNK,0.012948326211699297,10753.09699998796
DOM,DOM,0.012055229647711531,2172.27499999851
DZA,DZA,0.012200561257036604,6912.546000003815
ECU,ECU,0.014159972890383492,2551.4840000011027
EGY,EGY,0.004360224949047431,3861.7800000160933
ERI,ERI,0.00176870499343068,13.339000000036322
ESP,ESP,0.005441474954030371,24333.92699998617
EST,EST,0.026692905988455962,1587.4279999993742
ETH,ETH,0.04162795668236388,339.86499999987427
FIN,FIN,0.016164626384428095,10250.702999986708
FJI,FJI,0.03183932414624166,400.5009999999311
FRA,FRA,0.003648760926086219,26540.02800011635
GAB,GAB,0.01689360703402974,1086.4599999990314
GBR,GBR,0.005511225325301306,40940.82400012016
GEO,GEO,0.01235555777362461,583.2829999998212
GHA,GHA,0.010536654748286176,1234.4350000005215
GIN,GIN,0.007535825205327072,120.05400000023656
GMB,GMB,0.002570148144730968,9.124999999941792
GNQ,GNQ,0.0,0.0
GRC,GRC,0.012162367162209368,11296.809000015259
GRL,GRL,0.010831863790088367,100.57600000000093
GTM,GTM,0.01174018718074505,1837.4180000014603
GUY,GUY,0.006022150660238311,6970.482999995351
HKG,HKG,-0.002033524022632413,-2731.7430000007153
HND,HND,0.01743653890819113,1041.0590000003576
HRV,HRV,0.021266837086622203,3998.5130000039935
HTI,HTI,0.005841305575062571,134.86299999943003
HUN,HUN,0.01423416134743126,5041.366999998689
IDN,IDN,0.0024843134628694057,5632.02300003171
IND,IND,0.00504854720104001,25636.01499992609
IRL,IRL,-0.02078474750547177,-10376.091999992728
IRN,IRN,0.006154966779846618,7402.772999987006
IRQ,IRQ,0.00640693331744869,3448.109999999404
ISL,ISL,0.030327386921259247,1349.617999999784
ISR,ISR,0.01384821828615363,9340.230000004172
ITA,ITA,0.0038440783507988773,22529.74899995327
JAM,JAM,0.023142694086170004,1210.7470000004396
JOR,JOR,0.018745915463833078,2076.0820000004023
JPN,JPN,0.0022523515810343696,37915.072999715805
KAZ,KAZ,0.006939988588528788,3012.4939999952912
KEN,KEN,0.007523925340642039,832.356000000611
KGZ,KGZ,0.009332181323638096,179.85899999993853
KHM,KHM,0.011697052734359541,489.79999999981374
KOR,KOR,0.0092964435817697,22426.36399999261
KWT,KWT,-0.008012972534826922,-2164.629000004381
LAO,LAO,0.0072075642568983555,144.32400000025518
LBN,LBN,0.01467370985072127,2053.1240000016987
LBR,LBR,0.004140490866203158,14.689000000013039
LBY,LBY,-0.003202254690765023,-414.67600000090897
LIE,LIE,0.0005504728161858517,9.090000000083819
LKA,LKA,0.007018018793186951,1367.557999998331
LSO,LSO,0.011819817156196018,123.45000000006985
LTU,LTU,0.026026213197769564,2911.836000001058
LUX,LUX,0.02525064092623401,4222.533000001684
LVA,LVA,0.024925575647392374,2088.341000000015
MAC,MAC,0.040390624641379595,2358.126000000164
MAR,MAR,0.00888014141985138,2626.087999995798
MCO,MCO,0.0005240259357074408,8.701000000117347
MDA,MDA,,
MDG,MDG,0.008438425077385736,278.5160000002943
MDV,MDV,0.025183060570277572,201.5010000000475
MEX,MEX,-0.12373820669394861,-397390.9309999943
MKD,MKD,0.017495053466240813,698.4179999995977
MLI,MLI,0.004054813320277932,127.18900000024587
MLT,MLT,0.03847611021362049,1046.2310000001453
MMR,MMR,-0.0006919196606229863,-88.31199999898672
MNE,MNE,0.003300359303109754,51.725999999791384
MNG,MNG,0.018010841530265855,410.14399999938905
MOZ,MOZ,0.0031451686401286045,137.6259999992326
MRT,MRT,0.014075876822250663,181.72999999998137
MUS,MUS,0.01795540317255101,629.8969999998808
MWI,MWI,0.0066473523222734966,122.81699999980628
MYS,MYS,-0.004484664471320295,-3373.744000002742
NAM,NAM,0.011495700695314002,485.4349999995902
NCL,NCL,0.020958200980908698,665.2609999994747
NER,NER,0.0028187651633678323,67.83699999982491
NGA,NGA,0.007444638525592345,5321.934999987483
NIC,NIC,0.010977658649769951,399.91099999984726
NLD,NLD,0.010542819560687887,20888.739999979734
NOR,NOR,0.014610166706153485,15297.851999998093
NPL,NPL,0.008682105750141061,540.648000000976
NZL,NZL,0.009945839406987162,4198.447999998927
OMN,OMN,0.017694745274634695,3122.087999995798
PAK,PAK,0.005268404032208288,3442.5920000076294
PAN,PAN,0.020910644657369196,2254.54099999927
PER,PER,0.012997665658706553,6174.787000000477
PHL,PHL,-0.006517778869069034,-4560.1870000213385
PNG,PNG,-0.008334002243547991,-359.02900000009686
POL,POL,0.012702623301164772,19101.77500000596
PRK,PRK,0.002630537594374213,96.31000000005588
PRT,PRT,0.010327885058096712,7431.038999989629
PRY,PRY,0.011188685741076135,952.6490000020713
PSE,PSE,0.006551258403784415,225.39899999974295
PYF,PYF,0.0199170515148009,486.12899999972433
QAT,QAT,0.0063139941652510774,2251.331000007689
