,region,consumption_deviation,consumption_loss
US.AK,US.AK,-0.06614572516962025,-12392.149000003934
US.AL,US.AL,-0.17329039906226995,-99365.3430000022
US.AR,US.AR,-0.11343714542099152,-38187.828999996185
US.AZ,US.AZ,-0.20841205726026144,-170248.51999999583
US.CA,US.CA,-0.3569007359566666,-2349232.455000043
US.CO,US.CO,-0.21052437111199065,-177244.7080000192
US.CT,US.CT,-0.19941640040771919,-147360.2119999975
US.DC,US.DC,-0.11683548724288108,-39497.785000003874
US.DE,US.DE,-0.047259902854391175,-8815.735999997705
US.FL,US.FL,-0.2950625393608913,-696235.1539999545
US.GA,US.GA,-0.25281394119943695,-342685.09299999475
US.HI,US.HI,-0.09374741614110453,-20934.679999999702
US.IA,US.IA,-0.15446626897186935,-75387.10100000352
US.ID,US.ID,-0.042379456763421,-7575.011999990791
US.IL,US.IL,-0.28863390339127454,-634025.5710000098
US.IN,US.IN,-0.21888421216966575,-202673.47800000012
US.KS,US.KS,-0.14183806223250978,-61654.45199999958
US.KY,US.KY,-0.16730306383151136,-91369.02499999106
US.LA,US.LA,-0.19817691159314085,-147617.65999999642
US.MA,US.MA,-0.2530903123048787,-339183.5039999932
US.MD,US.MD,-0.22954877960903516,-235594.60300000012
US.ME,US.ME,-0.0322345612057033,-5211.4860000014305
US.MI,US.MI,-0.2476866902148552,-318630.1319999844
US.MN,US.MN,-0.21703776720636875,-196217.1889999956
US.MO,US.MO,-0.20763702303666587,-170611.63800001144
US.MS,US.MS,-0.10534568141398501,-32901.14899999648
US.MT,US.MT,-0.0019838282218184186,-258.0570000000298
US.NC,US.NC,-0.2529321097016991,-342291.72499999404
US.ND,US.ND,-0.026246449376542608,-4236.20000000298
US.NE,US.NE,-0.10483887117908558,-32944.38099999726
US.NH,US.NH,-0.05901569080069281,-12160.263999994844
US.NJ,US.NJ,-0.266268526241501,-423108.1770000458
US.NM,US.NM,-0.09190352208897548,-25522.053999997675
US.NV,US.NV,-0.13248507773283186,-51235.67999999225
US.NY,US.NY,-0.32588864437440146,-1309431.1270000935
US.OH,US.OH,-0.27129029960292567,-460951.7269999683
US.OK,US.OK,-0.16511892513462276,-88777.87200000137
US.OR,US.OR,-0.18172791390347862,-110434.05299999565
US.PA,US.PA,-0.28234737721275216,-556130.1680000424
US.RI,US.RI,-0.028048583400057718,-4397.36600000225
US.SC,US.SC,-0.166889235916382,-89864.5739999935
US.SD,US.SD,-0.0027720689463199607,-366.6500000022352
US.TN,US.TN,-0.21191458984682948,-182013.94599999487
US.TX,US.TX,-0.33069637803920254,-1468544.5529999733
US.UT,US.UT,-0.13235933847301895,-52241.96299999952
US.VA,US.VA,-0.25281493514615855,-344314.5719999969
US.VT,US.VT,0.042341460811234674,3658.979000000283
US.WA,US.WA,-0.2446782884686196,-293764.5410000086
US.WI,US.WI,-0.20944058172467991,-176086.68800000846
US.WV,US.WV,-0.06505929716534649,-14214.577999997884
US.WY,US.WY,0.005739368815948096,708.558999998495
