,region,consumption_deviation,consumption_loss
ABW,ABW,0.048914562374314866,408.32600000000093
AFG,AFG,0.004179993536098632,219.8410000000149
AGO,AGO,0.017749616276772465,4507.179000001401
ALB,ALB,0.0138185579269383,701.9239999987185
AND,AND,0.0179774206556849,199.67299999995157
ANT,ANT,0.02582564024183767,351.4490000002552
ARE,ARE,0.019807898346564146,21716.800999999046
ARG,ARG,0.0052382628133579604,6296.668000012636
ARM,ARM,0.009709771090076693,275.0829999996349
ATG,ATG,0.00977076156113732,36.43900000001304
AUS,AUS,-0.002909497636963289,-10408.23500007391
AUT,AUT,0.012677789334675149,13859.509000003338
AZE,AZE,0.008989783438100566,1168.7729999963194
BDI,BDI,0.0013232499316134063,9.593999999924563
BEL,BEL,0.009363010252080375,11084.204000011086
BEN,BEN,0.0038529433963446357,88.26299999980256
BFA,BFA,0.0057809754282831735,157.29699999978766
BGD,BGD,0.0053860951473553185,1773.1970000043511
BGR,BGR,0.017920267585335953,2831.161000000313
BHR,BHR,0.03422123059154759,2331.1619999995455
BHS,BHS,0.04275148915006715,1176.9469999992289
BIH,BIH,0.014050151975682611,902.311999999918
BLR,BLR,,
BLZ,BLZ,0.013057673062772682,59.17300000000978
BMU,BMU,0.014649120855364902,303.53100000019185
BOL,BOL,0.012312984612504569,732.7590000005439
BRA,BRA,0.0029023871934932017,17162.263000011444
BRB,BRB,0.02626917527147893,391.95999999996275
BRN,BRN,0.03341985158345594,1062.8489999999292
BTN,BTN,0.009993485160455645,51.633000000030734
BWA,BWA,0.00833798278524018,459.21100000012666
CAF,CAF,0.0025583659362339085,15.426000000094064
CAN,CAN,-0.08103097583496544,-405519.2539999485
CHE,CHE,0.008232502600500641,14111.74699997902
CHL,CHL,0.010946781997805506,6627.842000000179
CIV,CIV,0.00942671652012429,552.5570000000298
CMR,CMR,0.0084240061487857,675.7839999990538
CN.AH,CN.AH,0.020343303762511006,11181.387999996543
CN.BJ,CN.BJ,0.026901911311444295,15359.975999996066
CN.CQ,CN.CQ,0.02286908053630315,8325.481999993324
CN.FJ,CN.FJ,0.026160468975932386,16461.949000000954
CN.GD,CN.GD,0.02070723993337741,37776.97699999809
CN.GS,CN.GS,0.028586007927481023,5143.804000001401
CN.GX,CN.GX,0.02187568771369101,9101.831999994814
CN.GZ,CN.GZ,0.026841398393540754,5860.969999998808
CN.HA,CN.HA,0.03571555248825028,3236.280000001192
CN.HB,CN.HB,0.018207061207751833,15459.09200000763
CN.HE,CN.HE,0.017783163493322988,16819.504000023007
CN.HL,CN.HL,0.021359004445669273,9335.499000005424
CN.HN,CN.HN,0.019010100540833456,13453.347000002861
CN.HU,CN.HU,0.019022616867177083,13520.77800001204
CN.JL,CN.JL,0.02238397761026834,8528.291999995708
CN.JS,CN.JS,0.02098030872491232,36255.20799997449
CN.JX,CN.JX,0.02200461989549229,9094.85799999535
CN.LN,CN.LN,0.024565733032514806,19499.837999999523
CN.NM,CN.NM,0.027733423313515224,14062.258000001311
CN.NX,CN.NX,0.038552245326352916,2861.252000001259
CN.QH,CN.QH,0.04103936947563429,2460.356000000611
CN.SA,CN.SA,0.02136881348828768,9860.193999998271
CN.SC,CN.SC,0.018590025120556505,14177.73299998045
CN.SD,CN.SD,0.021296082079582578,34045.70300000906
CN.SH,CN.SH,0.02603881492769757,16785.127000004053
CN.SX,CN.SX,0.022468358320636733,8685.27800000459
CN.TJ,CN.TJ,0.029510580125791958,12145.302999988198
CN.XJ,CN.XJ,0.02540990360787115,6078.832000002265
CN.XZ,CN.XZ,0.05330928349941832,1167.9210000000894
CN.YN,CN.YN,0.023403813563678474,7696.738000001758
CN.ZJ,CN.ZJ,0.0228501745022608,25313.927000001073
COD,COD,0.009974291754552885,860.0630000028759
COG,COG,0.010563855711279236,307.3190000005998
COL,COL,-0.007433155638251135,-6175.797000005841
CPV,CPV,0.008196059519960937,56.13700000010431
CRI,CRI,0.020107767175763864,2557.013000000268
CUB,CUB,0.007952855744140262,1613.5639999955893
CYM,CYM,0.011008763249299782,101.17900000000373
CYP,CYP,0.027866227506886092,2361.96799999848
CZE,CZE,0.02668364200875477,14789.309000000358
DEU,DEU,0.0005234484577528833,4459.890000104904
DJI,DJI,0.0031977800789848706,14.103000000002794
DNK,DNK,0.011186347409911828,9289.839999988675
DOM,DOM,0.01680094808702809,3027.422999996692
DZA,DZA,0.015102289901530773,8556.596000000834
ECU,ECU,0.002999518957476022,540.4829999990761
EGY,EGY,0.0048861791017347205,4327.609000012279
ERI,ERI,0.0021191575983852858,15.981999999959953
ESP,ESP,0.004023419285780254,17992.472999989986
EST,EST,-0.009738366884710296,-579.1409999998286
ETH,ETH,0.04588132912072324,374.5910000001313
FIN,FIN,0.016892404148595858,10712.21899998933
FJI,FJI,0.026647023058438014,335.1879999998491
FRA,FRA,0.003102653076711173,22567.798000097275
GAB,GAB,0.019204345721248278,1235.0679999990389
GBR,GBR,0.002184578153411528,16228.41100013256
GEO,GEO,0.006118414134793392,288.8390000006184
GHA,GHA,0.0132742038679184,1555.1559999976307
GIN,GIN,0.0021585449644225835,34.38799999980256
GMB,GMB,0.0028304020500180007,10.048999999940861
GNQ,GNQ,0.0,0.0
GRC,GRC,0.011621162279793176,10794.120000004768
GRL,GRL,0.018445487107534183,171.2699999999022
GTM,GTM,0.011462703859639286,1793.9900000002235
GUY,GUY,0.0024206581961810887,2801.849000006914
HKG,HKG,0.010828933422708287,14547.092999994755
HND,HND,0.01639690441763532,978.9870000006631
HRV,HRV,0.021801003408503092,4098.945000000298
HTI,HTI,0.0041089201240204565,94.86599999992177
HUN,HUN,0.012850896968842285,4551.451000012457
IDN,IDN,0.0035455392923547354,8037.858000010252
IND,IND,0.005325266150866084,27041.166000008583
IRL,IRL,-0.027381803125704908,-13669.451999992132
IRN,IRN,0.005862267226539523,7050.733999967575
IRQ,IRQ,0.006476450414111514,3485.5229999944568
ISL,ISL,0.03737405094758311,1663.2060000002384
ISR,ISR,0.012609530111509077,8504.769999995828
ITA,ITA,0.002821248817942169,16535.050000071526
JAM,JAM,0.023567874645982558,1232.9910000003874
JOR,JOR,0.02271425818602108,2515.570000000298
JPN,JPN,-0.00135527859388582,-22814.14999985695
KAZ,KAZ,0.00021615717382205725,93.82899998873472
KEN,KEN,0.00766995542136824,848.5109999999404
KGZ,KGZ,0.007891823301262,152.0989999996964
KHM,KHM,0.011373867322667812,476.2670000004582
KOR,KOR,0.006257255601320012,15094.750000029802
KWT,KWT,-0.02745698985596058,-7417.247000001371
LAO,LAO,0.0010509408152619144,21.043999999994412
LBN,LBN,0.017687720803481327,2474.839999999851
LBR,LBR,0.00405057211159829,14.369999999995343
LBY,LBY,-0.008121772476963052,-1051.7290000002831
LIE,LIE,0.00011748264724841717,1.9400000001769513
LKA,LKA,0.008851842984686763,1724.9039999991655
LSO,LSO,0.0138514469677496,144.6689999999944
LTU,LTU,0.029505699158963065,3301.123999999836
LUX,LUX,0.027620146140407247,4618.772999998182
LVA,LVA,0.030241304149070208,2533.708999999799
MAC,MAC,0.04730751778375677,2761.954999999143
MAR,MAR,0.008952860780826697,2647.592999994755
MCO,MCO,0.00012129505052350214,2.014000000199303
MDA,MDA,,
MDG,MDG,0.00866356810957342,285.94700000062585
MDV,MDV,0.02918995931989212,233.56200000015087
MEX,MEX,-0.1030221344446113,-330860.3139999509
MKD,MKD,0.01770096073023503,706.6380000002682
MLI,MLI,0.004416558178287482,138.53600000031292
MLT,MLT,0.036049818724124535,980.2560000000522
MMR,MMR,1.0114913971579346e-05,1.2910000011324883
MNE,MNE,0.002838349835682946,44.485000000335276
MNG,MNG,0.023156488859003215,527.3209999995306
MOZ,MOZ,0.0034157254501468006,149.4650000007823
MRT,MRT,0.014851432617212588,191.74299999978393
MUS,MUS,0.017588397430572562,617.0219999994151
MWI,MWI,0.007180907116736618,132.6749999995809
MYS,MYS,-0.015884453920122974,-11949.62999998033
NAM,NAM,0.013312525105054205,562.1549999993294
NCL,NCL,0.02496916100156813,792.5780000002123
NER,NER,0.0037361924676887724,89.91600000020117
NGA,NGA,0.00836937268296728,5982.998000010848
NIC,NIC,0.014671941324547546,534.4920000005513
NLD,NLD,0.008675300037329425,17188.578999996185
NOR,NOR,0.01267141187212576,13267.841999992728
NPL,NPL,0.008615446073298935,536.4970000013709
NZL,NZL,0.008160045791663828,3444.609000004828
OMN,OMN,0.01908405534494238,3367.220000002533
PAK,PAK,0.00595801165581984,3893.2100000083447
PAN,PAN,0.019900747058046425,2145.656000001356
PER,PER,0.012308595114369054,5847.431000009179
PHL,PHL,-0.01343755813905177,-9401.635000005364
PNG,PNG,0.0037101420236174947,159.83300000056624
POL,POL,0.014677703661970909,22071.833999991417
PRK,PRK,0.002259842378599657,82.73799999989569
PRT,PRT,0.010768041615224537,7747.736999988556
PRY,PRY,0.005856586959962732,498.6529999990016
PSE,PSE,0.00911870040591945,313.7329999995418
PYF,PYF,0.021110815165990525,515.2659999998286
QAT,QAT,0.006555923974195391,2337.5940000116825
ROU,ROU,0.009078084795113085,5233.537000007927
RUS,RUS,0.007097996536879556,34962.3029999733
RWA,RWA,0.003873314357744825,73.36100000026636
SAU,SAU,0.017171145566096693,27611.037999987602
SDN,SDN,,
SDS,SDS,,
SEN,SEN,0.006442496015937485,417.0359999984503
SGP,SGP,-0.021753569511481996,-21749.359999999404
SLE,SLE,0.0037312700205348807,36.48699999996461
SLV,SLV,0.012820458942921368,1037.2410000003874
SMR,SMR,0.01824468901803183,111.69799999997485
SOM,SOM,0.00012411523880146894,0.4230000000097789
SRB,SRB,0.006341827196544899,860.0360000003129
STP,STP,0.005558583223663057,5.161000000007334
SUR,SUR,0.01125318034173448,127.34100000024773
SVK,SVK,0.021516536626236864,7131.468999996781
SVN,SVN,0.02476737063770365,3827.3800000008196
SWE,SWE,0.010797704834699317,15099.267999976873
SWZ,SWZ,0.010544143495662324,161.6019999999553
SYC,SYC,0.025411184575025975,131.86099999997532
SYR,SYR,0.008090891322846785,1487.9140000008047
TCD,TCD,0.005782511002372538,110.12000000011176
TGO,TGO,0.0079306815787598,104.33500000019558
THA,THA,-0.00898039173446564,-10202.680999994278
TJK,TJK,0.003502958078696968,64.84799999999814
TKM,TKM,0.01892096534093032,1441.8070000009611
TTO,TTO,0.04393055895796386,2433.6379999984056
TUN,TUN,0.012511409599658529,2060.946000000462
TUR,TUR,0.0072971086831709175,17359.140000015497
TWN,TWN,0.021828274199203232,13763.437000013888
TZA,TZA,0.014333478868725168,657.6040000012144
UGA,UGA,0.005451279291321608,368.0120000001043
UKR,UKR,0.008898062166245115,4264.6119999960065
URY,URY,0.017277100456499005,2388.4840000011027
USA,USA,-0.3845957791109507,-19042266.78600216
UZB,UZB,-0.001440325025421737,-191.7700000014156
VEN,VEN,-0.007152385607725683,-7390.647000014782
VGB,VGB,0.030535011936552756,69.49099999997998
VNM,VNM,0.015809946009491944,5098.098999999464
VUT,VUT,0.008948321889703367,21.629999999975553
WSM,WSM,0.0071498791138526925,13.775000000023283
YEM,YEM,0.010755272138164657,1111.7400000002235
ZAF,ZAF,0.00958592271338745,10549.37800000608
ZMB,ZMB,0.007893456565797994,428.67599999997765
ZWE,ZWE,0.027104569228313592,79.51699999993434
