,region,consumption_deviation,consumption_loss
US.AK,US.AK,-0.1978486980740692,-37066.19799999893
US.AL,US.AL,-0.29969477957171775,-171846.07299999893
US.AR,US.AR,-0.24173576113794346,-81378.66899999976
US.AZ,US.AZ,-0.33369581595636894,-272590.8449999988
US.CA,US.CA,-0.49343418314476173,-3247938.378000021
US.CO,US.CO,-0.3367120294806444,-283484.6390000284
US.CT,US.CT,-0.3264443334520025,-241228.43499998748
US.DC,US.DC,-0.24467017346995454,-82713.99499999732
US.DE,US.DE,-0.17773697283796158,-33154.58000000194
US.FL,US.FL,-0.42094748712584346,-993275.6599999666
US.GA,US.GA,-0.37912483205161057,-513897.4050000012
US.HI,US.HI,-0.22629518591530534,-50533.84399999678
US.IA,US.IA,-0.282182903725683,-137719.07100000232
US.ID,US.ID,-0.17282653006404225,-30891.45399999246
US.IL,US.IL,-0.4140507911056695,-909521.6679999828
US.IN,US.IN,-0.3454372090722814,-319853.86199998856
US.KS,US.KS,-0.2697743639697475,-117266.05900000036
US.KY,US.KY,-0.29456025724010154,-160867.84599999338
US.LA,US.LA,-0.32496630314832203,-242060.31299997866
US.MA,US.MA,-0.38043561299623835,-509847.5840000063
US.MD,US.MD,-0.35607888162295515,-365457.23700001836
US.ME,US.ME,-0.16569978392673607,-26789.324000000954
US.MI,US.MI,-0.37403211916460316,-481163.9389999956
US.MN,US.MN,-0.34302519216861255,-310118.5560000241
US.MO,US.MO,-0.3337553347056744,-274240.80499999225
US.MS,US.MS,-0.23296479257673636,-72758.64800000191
US.MT,US.MT,-0.13599829459207116,-17690.70099999942
US.NC,US.NC,-0.3791975523229311,-513166.09999999404
US.ND,US.ND,-0.15928600983641913,-25708.9020000007
US.NE,US.NE,-0.23447003791808224,-73679.44900000095
US.NH,US.NH,-0.18995355774654543,-39140.19100000337
US.NJ,US.NJ,-0.3914920782160527,-622091.9230000079
US.NM,US.NM,-0.22249831270503484,-61788.86100000143
US.NV,US.NV,-0.2605423656353331,-100759.00999999791
US.NY,US.NY,-0.4570323760593461,-1836370.8879999518
US.OH,US.OH,-0.397298393908767,-675053.1850000024
US.OK,US.OK,-0.2917906385577132,-156884.20899999887
US.OR,US.OR,-0.30856130547029303,-187509.3090000078
US.PA,US.PA,-0.4084353880555458,-804481.4980000257
US.RI,US.RI,-0.16082867869465872,-25214.199000000954
US.SC,US.SC,-0.2942359037192252,-158436.72599998862
US.SD,US.SD,-0.13586183975107186,-17969.87900000252
US.TN,US.TN,-0.338399273411244,-290651.94199998677
US.TX,US.TX,-0.4623088084623144,-2053004.2889999747
US.UT,US.UT,-0.261155988294223,-103077.74000000954
US.VA,US.VA,-0.3799271104959576,-517431.61599999666
US.VT,US.VT,-0.09408460823637445,-8130.414000000805
US.WA,US.WA,-0.3707651908913024,-445146.428000018
US.WI,US.WI,-0.33657023265159713,-282970.65000000596
US.WV,US.WV,-0.19410703356138356,-42409.76599999517
US.WY,US.WY,-0.12825488872910945,-15833.824000000954
