,region,consumption_deviation,consumption_loss
ABW,ABW,0.047822410355670156,399.20900000003166
AFG,AFG,0.003131159135598952,164.67899999953806
AGO,AGO,0.018278838642462523,4641.565000001341
ALB,ALB,0.013340840785708682,677.6579999998212
AND,AND,0.018837068241607063,209.22100000013597
ANT,ANT,0.01330996073785759,181.12899999995716
ARE,ARE,0.01109220913185097,12161.173999994993
ARG,ARG,-0.0004740466006098661,-569.8289999812841
ARM,ARM,0.010213997378227457,289.36799999978393
ATG,ATG,0.011999811229277742,44.75199999997858
AUS,AUS,-0.00987338205566551,-35320.3520000577
AUT,AUT,0.009374241958444109,10248.032000020146
AZE,AZE,0.006694612863186159,870.3749999981374
BDI,BDI,0.0010959499641988563,7.945999999879859
BEL,BEL,0.0013032844014239562,1542.865999981761
BEN,BEN,0.0033019990753218225,75.64199999952689
BFA,BFA,0.004947367128955887,134.61500000068918
BGD,BGD,0.005403642815008642,1778.9739999994636
BGR,BGR,0.0171581963161631,2710.7639999985695
BHR,BHR,0.02730580749855442,1860.080999999307
BHS,BHS,0.035453187099960794,976.0250000003725
BIH,BIH,0.012675612885554844,814.0380000006407
BLR,BLR,,
BLZ,BLZ,0.012381100544726529,56.10700000001816
BMU,BMU,0.014538165701355707,301.23199999984354
BOL,BOL,0.013188519065498637,784.8629999998957
BRA,BRA,-0.00019192667115201697,-1134.892000079155
BRB,BRB,0.021777760203642672,324.9440000001341
BRN,BRN,0.034602069922869176,1100.4469999996945
BTN,BTN,0.010938775605013126,56.51700000005076
BWA,BWA,0.00820723283797922,452.0100000007078
CAF,CAF,0.002097641148820262,12.648000000161119
CAN,CAN,-0.13104280524622,-655803.290999949
CHE,CHE,-0.0015592028088688742,-2672.7080000042915
CHL,CHL,-0.0026077894440646025,-1578.9130000025034
CIV,CIV,0.008294057693622757,486.1650000009686
CMR,CMR,0.006521454536938989,523.1589999990538
CN.AH,CN.AH,0.019967792615139177,10974.99399998039
CN.BJ,CN.BJ,0.026386372856171816,15065.623000003397
CN.CQ,CN.CQ,0.022483655143962798,8185.167999997735
CN.FJ,CN.FJ,0.025632903710692902,16129.969000004232
CN.GD,CN.GD,0.020272199616481457,36983.31700000167
CN.GS,CN.GS,0.028253460628163946,5083.964999999851
CN.GX,CN.GX,0.021504933387876908,8947.57199998945
CN.GZ,CN.GZ,0.026473214590563236,5780.57500000298
CN.HA,CN.HA,0.035423849210586826,3209.8479999992996
CN.HB,CN.HB,0.017812459453497395,15124.047000005841
CN.HE,CN.HE,0.017405932564248855,16462.714999973774
CN.HL,CN.HL,0.02092878593478249,9147.46099999547
CN.HN,CN.HN,0.018638404938462194,13190.29999999702
CN.HU,CN.HU,0.018659135554485562,13262.424999982119
CN.JL,CN.JL,0.02198862574341074,8377.663000002503
CN.JS,CN.JS,0.020489938848981995,35407.82000002265
CN.JX,CN.JX,0.02163905684505699,8943.765000000596
CN.LN,CN.LN,0.02414200211203362,19163.488000020385
CN.NM,CN.NM,0.027240679909062607,13812.412000000477
CN.NX,CN.NX,0.03844357826082611,2853.1870000008494
CN.QH,CN.QH,0.04080200942381395,2446.126000000164
CN.SA,CN.SA,0.020978740624778044,9680.20300000906
CN.SC,CN.SC,0.018255499330136902,13922.6060000211
CN.SD,CN.SD,0.020792886286394256,33241.25199997425
CN.SH,CN.SH,0.02552787162413843,16455.762999996543
CN.SX,CN.SX,0.022141559589113832,8558.951999999583
CN.TJ,CN.TJ,0.029062482440179928,11960.884999997914
CN.XJ,CN.XJ,0.02479900405139144,5932.686000000685
CN.XZ,CN.XZ,0.05278656157337347,1156.4690000009723
CN.YN,CN.YN,0.023020260136861335,7570.600000005215
CN.ZJ,CN.ZJ,0.022396264054120266,24811.07500000298
COD,COD,0.00945542303517672,815.3220000024885
COG,COG,0.01125649655867519,327.46900000050664
COL,COL,-0.008592607158751597,-7139.120999991894
CPV,CPV,0.010347384617958436,70.87200000009034
CRI,CRI,0.01703036651383853,2165.674000002444
CUB,CUB,0.007104533847948041,1441.4469999969006
CYM,CYM,0.004048627487001267,37.21000000007916
CYP,CYP,0.026346223360622877,2233.130999997258
CZE,CZE,0.021304607142610423,11807.998999997973
DEU,DEU,-0.009103010681203439,-77559.54899978638
DJI,DJI,0.0031075357003719035,13.70499999995809
DNK,DNK,0.008622178086566594,7160.3939999789
DOM,DOM,0.014008673261220007,2524.272999998182
DZA,DZA,0.01293135809943009,7326.598000012338
ECU,ECU,-0.0011749993102967043,-211.722999997437
EGY,EGY,0.004238617196018743,3754.0739999860525
ERI,ERI,0.0016333239454956955,12.317999999970198
ESP,ESP,-0.00023608053247978238,-1055.736999988556
EST,EST,0.029753287676829398,1769.428999999538
ETH,ETH,0.04190587242455802,342.13400000007823
FIN,FIN,0.013445869074281839,8526.61899998784
FJI,FJI,0.020313199588882495,255.51599999982864
FRA,FRA,-0.0030969946161171474,-22526.639999985695
GAB,GAB,0.019832612010141304,1275.473000000231
GBR,GBR,-0.009810586881586265,-72879.1669999361
GEO,GEO,0.00440326530072969,207.87000000011176
GHA,GHA,0.011447592033794944,1341.1569999996573
GIN,GIN,0.006154439284881441,98.04700000025332
GMB,GMB,0.003372879346130349,11.975000000034925
GNQ,GNQ,0.0,0.0
GRC,GRC,0.010397122116291499,9657.190999999642
GRL,GRL,0.014706309978537242,136.55100000009406
GTM,GTM,0.00926778190922988,1450.4700000043958
GUY,GUY,0.0022089566862925863,2556.809999987483
HKG,HKG,0.0007023739626103138,943.5370000004768
HND,HND,0.014906390939971648,889.9949999991804
HRV,HRV,0.020888726345093363,3927.4219999983907
HTI,HTI,0.0064477292743757575,148.8640000000596
HUN,HUN,0.010415649069520751,3688.9500000029802
IDN,IDN,-0.0005574305544145865,-1263.7139999866486
IND,IND,0.0028750401963250566,14599.165000021458
IRL,IRL,-0.05726295598765556,-28586.620999991894
IRN,IRN,0.004181450815188241,5029.163000002503
IRQ,IRQ,0.005619238259394119,3024.1849999949336
ISL,ISL,0.03439719336093032,1530.731000000611
ISR,ISR,-0.003820101520533426,-2576.5499999970198
ITA,ITA,-0.0018637050204166378,-10922.983999848366
JAM,JAM,0.01576293274580991,824.6630000006407
JOR,JOR,0.017366853883953034,1923.3530000001192
JPN,JPN,-0.003954077834142401,-66561.16700005531
KAZ,KAZ,7.435996605779794e-05,32.2779999896884
KEN,KEN,0.007613929767377408,842.3130000010133
KGZ,KGZ,0.007622430691325675,146.9069999998901
KHM,KHM,0.01154784247406684,483.55199999921024
KOR,KOR,-0.00616077039671738,-14861.993000000715
KWT,KWT,-0.046993170303998695,-12694.762000001967
LAO,LAO,0.0031472790875703544,63.02100000018254
LBN,LBN,0.014111139642012917,1974.4100000020117
LBR,LBR,0.004501575269459463,15.96999999997206
LBY,LBY,-0.004817166351180229,-623.7990000005811
