,region,consumption_deviation,consumption_loss
US.AK,US.AK,-0.31711573026409223,-59410.421000003815
US.AL,US.AL,-0.4176024872531999,-239454.7800000012
US.AR,US.AR,-0.3547600776253719,-119427.5220000036
US.AZ,US.AZ,-0.45447827822886233,-371256.1320000142
US.CA,US.CA,-0.6216393773854414,-4091825.131000042
US.CO,US.CO,-0.4567677369020024,-384561.95700001717
US.CT,US.CT,-0.4456187264916713,-329293.2269999981
US.DC,US.DC,-0.3608379247275355,-121986.04299999774
US.DE,US.DE,-0.29116316601255504,-54312.799000002444
US.FL,US.FL,-0.540490144702724,-1275350.7779999673
US.GA,US.GA,-0.4991203396320698,-676549.3200000226
US.HI,US.HI,-0.34588835594422407,-77240.12399999797
US.IA,US.IA,-0.3990433590807332,-194752.69399999827
US.ID,US.ID,-0.28529414032178746,-50994.200999997556
US.IL,US.IL,-0.5348385596769689,-1174849.2440000176
US.IN,US.IN,-0.4652190844758443,-430764.598999992
US.KS,US.KS,-0.3858876110433611,-167738.39699999988
US.KY,US.KY,-0.4136069152812534,-225882.6569999978
US.LA,US.LA,-0.4443982676179419,-331022.5789999813
US.MA,US.MA,-0.5003929317460735,-670610.528000012
US.MD,US.MD,-0.47645727253642045,-489006.1370000094
US.ME,US.ME,-0.2760101011257016,-44623.61900000274
US.MI,US.MI,-0.49392719174749106,-635399.8519999832
US.MN,US.MN,-0.4629540132028002,-418542.52500002086
US.MO,US.MO,-0.454198319325332,-373206.65700000525
US.MS,US.MS,-0.34911947597905085,-109035.62199999765
US.MT,US.MT,-0.24484037419497817,-31848.91300000064
US.NC,US.NC,-0.4998627113684334,-676461.6400000155
US.ND,US.ND,-0.26763611367940504,-43196.70399999991
US.NE,US.NE,-0.3471669282298913,-109093.11999999732
US.NH,US.NH,-0.30495540842577895,-62836.47999999672
US.NJ,US.NJ,-0.512396347924933,-814212.2080000043
US.NM,US.NM,-0.33542190325143867,-93148.2899999991
US.NV,US.NV,-0.3762470986353503,-145505.26200000197
US.NY,US.NY,-0.5798199705152375,-2329735.41899997
US.OH,US.OH,-0.5167230738952006,-877968.7059999704
US.OK,US.OK,-0.4108967666800509,-220922.8319999948
US.OR,US.OR,-0.42827337338328353,-260257.0150000006
US.PA,US.PA,-0.529075567479398,-1042102.4170000553
US.RI,US.RI,-0.27296830393082083,-42795.08600000106
US.SC,US.SC,-0.4121735025232116,-221942.3919999972
US.SD,US.SD,-0.24206096918608083,-32016.395000001416
US.TN,US.TN,-0.4592013356414311,-394409.1210000068
US.TX,US.TX,-0.5863331339101993,-2603767.041999936
US.UT,US.UT,-0.37516717085977,-148077.72299999744
US.VA,US.VA,-0.5000951419158587,-681091.2680000067
US.VT,US.VT,-0.20341038991119956,-17577.908999999985
US.WA,US.WA,-0.4919561969233102,-590650.226000011
US.WI,US.WI,-0.4565300227766646,-383826.5680000186
US.WV,US.WV,-0.3061890350771322,-66898.17000000179
US.WY,US.WY,-0.2369102540332077,-29247.971000000834
